M130000003,東京都世田谷区世田谷２－２８－２１
M130002844,東京都世田谷区駒沢３－２５－２３ ホワイトテラス桜新町113 
M130002845,東京都世田谷区駒沢３－２５－２３ ホワイトテラス桜新町202 
M130002847,東京都世田谷区駒沢３－２５－２３ ホワイトテラス桜新町205 
M130002849,東京都世田谷区駒沢３－２５－２３ ホワイトテラス桜新町206 
M130002850,東京都世田谷区駒沢３－２５－２３ ホワイトテラス桜新町213 
M130002851,東京都世田谷区駒沢３－２５－２３ ホワイトテラス桜新町215 
M130002893,東京都世田谷区代田２－３４－１４ 
M130002895,東京都世田谷区三軒茶屋２－３０－４ アミカファースト101
M130003008,東京都世田谷区太子堂２－1４－４ シンシア三軒茶屋104
M130003053,東京都世田谷区弦巻３－２５－４
M130003263,東京都世田谷区太子堂２－６－３７ エムプレイスワン402
M130003265,東京都世田谷区太子堂２－６－３７ エムプレイスワン207
M130003434,東京都世田谷区上北沢５－８－１１
M130003486,東京都世田谷区三軒茶屋２－３０－４ アミカファースト203
M130003542,東京都世田谷区三軒茶屋２－３０－４ アミカファースト 303
M130003596,東京都世田谷区三軒茶屋１－３６－２ プリンセスライン三軒茶屋302
M130003676,東京都世田谷区北沢２−２３−１２ アドレス下北沢 102
M130003677,東京都世田谷区北沢２−２３−１２ アドレス下北沢 101
M130003820,東京都世田谷区南烏山１－１３－８ パレスマーシー105 
M130003836,東京都世田谷区用賀４－２８－１４
M130003952,東京都世田谷区三軒茶屋２－３８－２
M130004278,東京都世田谷区代沢２－２５－１９ 101 
M130004282,東京都世田谷区代沢２－２５－１９ 202 
M130004283,東京都世田谷区代沢２－２５－１９ 203 
M130004285,東京都世田谷区代沢２－２５－１９ 201 
M130004506,東京都世田谷区上馬４－１１－１２ 201 
M130004509,東京都世田谷区上馬４－１１－１２ 202 
M130004721,東京都世田谷区代田６－１２－１６ ケイフラット201 
M130004724,東京都世田谷区代田６－１２－１６ ケイフラット202 
M130004890,東京都世田谷区野沢４－１３－８ 
M130004992,東京都世田谷区三軒茶屋１−１２−１０ フラット三軒茶屋 201 
M130004994,東京都世田谷区太子堂２−３６−４ カーサトレス 1F
M130005055,東京都世田谷区三軒茶屋２－３０－４ アミカファースト201
M130005076,東京都世田谷区代田６－３４－１７ 202
M130005078,東京都世田谷区代田６－３４－１７ 201
M130005079,東京都世田谷区代田６－３４－１７ 102
M130005080,東京都世田谷区代田６－３４－１７ 101
M130005191,東京都世田谷区代田２－３１－５
M130005423,東京都世田谷区三軒茶屋２－３０－４ アミカファースト102
M130006144,東京都世田谷区桜丘２－１３－８ 
M130006578,東京都世田谷区大原２－１４－１７
M130006662,東京都世田谷区代田６－２２－１１フェイス下北沢201号室
M130006832,東京都世田谷区三軒茶屋２－３０－４ アミカファースト301
M130007063,東京都世田谷区松原５－１－６カーサマツバラ101
M130007064,東京都世田谷区松原５－１－６カーサマツバラ105
M130007066,東京都世田谷区松原５－１－６カーサマツバラ106
M130007215,東京都世田谷区北沢２－７－６テクノプラザ下北沢501
M130007427,東京都世田谷区三軒茶屋２－１０－２１
M130007550,東京都世田谷区北沢２－７－６テクノプラザ下北沢503
M130007567,東京都世田谷区松原１－４１－２ハイツ犬飼101
M130007568,東京都世田谷区松原１－４１－２ハイツ犬飼201
M130007569,東京都世田谷区松原１－４１－２ハイツ犬飼202
M130007600,東京都世田谷区三軒茶屋２－３０－４アミカファースト302
M130007683,東京都世田谷区弦巻４－１１－１７ ２Ａ
M130007756,東京都世田谷区代田６－２－２シモキタ・ウエスト101
M130007757,東京都世田谷区代田６－２－２シモキタ・ウエスト203
M130007910,東京都世田谷区北沢５－２０－１１メゾン井口201
M130007911,東京都世田谷区北沢５－２０－１１メゾン井口203
M130008131,東京都世田谷区北沢２ー２７ー２北沢ＣＳハウス203
M130008166,東京都世田谷区深沢３－２－２
M130008214,東京都世田谷区瀬田５－３８－１０ 
M130008786,東京都世田谷区三軒茶屋２-４０-３
M130008796,東京都世田谷区羽根木１－１７－１２ 
M130009000,東京都世田谷区北沢２－２７－２ 北沢ＣＳハウス204
M130009072,東京都世田谷区北沢２－２７－２北沢ＣＳハウス101
M130009249,東京都世田谷区代田６－２８－１４ 
M130009499,東京都世田谷区北沢２丁目２６－３ヤマトハイツ 202
M130009500,東京都世田谷区北沢２丁目２６－３ヤマトハイツ 207
M130009866,東京都世田谷区代沢２－２０－１１ 201
M130009867,東京都世田谷区代沢２－２０－１１ 202
M130009998,東京都世田谷区北沢５－３４－１６ビラ・ウィスタリア201
M130009999,東京都世田谷区北沢５－３４－１６ビラ・ウィスタリア202
M130010000,東京都世田谷区北沢５－３４－１６ビラ・ウィスタリア203
M130010001,東京都世田谷区北沢５－３４－１６ビラ・ウィスタリア302
M130010002,東京都世田谷区北沢５－３４－１６ビラ・ウィスタリア303
M130010218,東京都世田谷区松原５－１－６カーサマツバラ102
M130010219,東京都世田谷区北沢５－２２－８クレッセントハウス・ササキ203
M130010220,東京都世田谷区北沢５－２２－８クレッセントハウス・ササキ302
M130010302,東京都世田谷区池尻２－１５－８プラザ池尻102
M130010306,東京都世田谷区代田４－２７－１２
M130010392,東京都世田谷区弦巻４－１１－１７
M130010545,東京都世田谷区北沢２－２７－２キタザワＣＳハウス202
M130010562,東京都世田谷区池尻２－２５－４ 103
M130010713,東京都世田谷区北沢２－２７－２キタザワＣＳハウス201
M130010782,東京都世田谷区三軒茶屋1-27-17グリーンヒルズ北原203
M130010787,東京都世田谷区三軒茶屋1-27-17グリーンヒルズ北原202
M130010892,東京都世田谷区北沢３－１１－１６

