'',''
4,気仙沼市
4,白石市
4,名取市
4,角田市
4,多賀城市
4,岩沼市
4,登米市
4,栗原市
4,東松島市
4,大崎市
4,刈田郡　蔵王町
4,刈田郡　七ヶ宿町
4,柴田郡　大河原町
4,柴田郡　村田町
4,柴田郡　柴田町
4,柴田郡　川崎町
4,伊具郡　丸森町
4,亘理郡　亘理町
4,亘理郡　山元町
4,宮城郡　松島町
4,宮城郡　七ヶ浜町
4,宮城郡　利府町
4,黒川郡　大和町
4,黒川郡　大郷町
4,黒川郡　富谷町
4,黒川郡　大衡村
4,加美郡　色麻町
4,加美郡　加美町
4,遠田郡　涌谷町
4,遠田郡　美里町
4,牡鹿郡　女川町
4,本吉郡　南三陸町
5,秋田市
5,能代市
5,横手市
5,大館市
5,男鹿市
5,湯沢市
5,大曲市
5,鹿角市
5,由利本荘市
5,潟上市
5,大仙市
5,北秋田市
5,にかほ市
5,仙北市
5,鹿角郡　小坂町
5,北秋田郡　上小阿仁村
5,山本郡　藤里町
5,山本郡　三種町
5,山本郡　八峰町
5,南秋田郡　五城目町
5,南秋田郡　八郎潟町
5,南秋田郡　井川町
5,南秋田郡　大潟村
5,仙北郡　六郷町
5,仙北郡　千畑町
5,仙北郡　仙南村
5,仙北郡　美郷町
5,雄勝郡　羽後町
5,雄勝郡　東成瀬村
6,山形市
6,米沢市
6,鶴岡市
6,酒田市
6,新庄市
6,寒河江市
6,上山市
6,村山市
6,長井市
6,天童市
6,東根市
6,尾花沢市
6,南陽市
6,東村山郡　山辺町
6,東村山郡　中山町
6,西村山郡　河北町
6,西村山郡　西川町
6,西村山郡　朝日町
6,西村山郡　大江町
6,北村山郡　大石田町
6,最上郡　金山町
6,最上郡　最上町
6,最上郡　舟形町
6,最上郡　真室川町
6,最上郡　大蔵村
6,最上郡　鮭川村
6,最上郡　戸沢村
6,東置賜郡　高畠町
6,東置賜郡　川西町
6,西置賜郡　小国町
6,西置賜郡　白鷹町
6,西置賜郡　飯豊町
6,東田川郡　三川町
6,東田川郡　庄内町
6,飽海郡　遊佐町
7,福島市
7,会津若松市
7,郡山市
7,いわき市
7,白河市
7,須賀川市
7,喜多方市
7,相馬市
7,二本松市
7,田村市
7,南相馬市
7,伊達市
7,本宮市
7,伊達郡　桑折町
7,伊達郡　川俣町
7,安達郡　大玉村
7,安達郡　東和町
7,岩瀬郡　鏡石町
7,岩瀬郡　天栄村
7,南会津郡　下郷町
7,南会津郡　檜枝岐村
7,南会津郡　只見町
7,南会津郡　南会津町
7,耶麻郡　北塩原村
7,耶麻郡　西会津町
7,耶麻郡　磐梯町
7,耶麻郡　猪苗代町
7,河沼郡　会津坂下町
7,河沼郡　湯川村
7,河沼郡　柳津町
7,大沼郡　三島町
7,大沼郡　金山町
7,大沼郡　昭和村
7,大沼郡　会津美里町
7,西白河郡　西郷村
7,西白河郡　泉崎村
7,西白河郡　中島村
7,西白河郡　矢吹町
7,東白川郡　棚倉町
7,東白川郡　矢祭町
7,東白川郡　塙町
7,東白川郡　鮫川村
7,石川郡　石川町
7,石川郡　玉川村
7,石川郡　平田村
7,石川郡　浅川町
7,石川郡　古殿町
7,田村郡　三春町
7,田村郡　小野町
7,双葉郡　広野町
7,双葉郡　楢葉町
7,双葉郡　富岡町
7,双葉郡　川内村
7,双葉郡　大熊町
7,双葉郡　双葉町
7,双葉郡　浪江町
7,双葉郡　葛尾村
7,相馬郡　新地町
7,相馬郡　飯舘村
8,水戸市
8,日立市
8,土浦市
8,古河市
8,石岡市
8,結城市
8,龍ヶ崎市
8,下妻市
8,常総市
8,常陸太田市
8,高萩市
8,北茨城市
8,笠間市
8,取手市
8,牛久市
8,つくば市
8,ひたちなか市
8,鹿嶋市
8,潮来市
8,守谷市
8,常陸大宮市
8,那珂市
8,筑西市
8,坂東市
8,稲敷市
8,かすみがうら市
8,桜川市
8,神栖市
8,行方市
8,鉾田市
8,つくばみらい市
8,小美玉市
8,東茨城郡　茨城町
8,東茨城郡　大洗町
8,東茨城郡　城里町
8,那珂郡　東海村
8,久慈郡　大子町
8,鹿島郡　神栖町
8,稲敷郡　美浦村
8,稲敷郡　阿見町
8,稲敷郡　茎崎町
8,稲敷郡　河内町
8,結城郡　八千代町
8,猿島郡　五霞村
8,猿島郡　境町
8,北相馬郡　利根町
9,宇都宮市
9,足利市
9,栃木市
9,佐野市
9,鹿沼市
9,日光市
9,小山市
9,真岡市
9,大田原市
9,矢板市
9,那須塩原市
9,さくら市
9,那須烏山市
9,下野市
9,河内郡　上三川町
9,上都賀郡　西方町
9,芳賀郡　益子町
9,芳賀郡　茂木町
9,芳賀郡　市貝町
9,芳賀郡　芳賀町
9,下都賀郡　壬生町
9,下都賀郡　野木町
9,下都賀郡　岩舟町
9,塩谷郡　塩谷町
9,塩谷郡　高根沢町
9,那須郡　那須町
9,那須郡　那珂川町
10,前橋市
10,高崎市
10,桐生市
10,伊勢崎市
10,太田市
10,沼田市
10,館林市
10,渋川市
10,藤岡市
10,富岡市
10,安中市
10,みどり市
10,北群馬郡　榛東村
10,北群馬郡　吉岡町
10,多野郡　上野村
10,多野郡　神流町
10,甘楽郡　下仁田町
10,甘楽郡　南牧村
10,甘楽郡　甘楽町
10,吾妻郡　中之条町
10,吾妻郡　長野原町
10,吾妻郡　嬬恋村
10,吾妻郡　草津町
10,吾妻郡　六合村
10,吾妻郡　高山村
10,吾妻郡　東吾妻町
10,利根郡　白沢村
10,利根郡　川場村
10,利根郡　昭和村
10,利根郡　みなかみ町
10,佐波郡　玉村町
10,邑楽郡　板倉町
10,邑楽郡　明和町
10,邑楽郡　千代田町
10,邑楽郡　大泉町
10,邑楽郡　邑楽町
11,さいたま市
11,さいたま市　西区
11,さいたま市　北区
11,さいたま市　大宮区
11,さいたま市　見沼区
11,さいたま市　中央区
11,さいたま市　桜区
11,さいたま市　浦和区
11,さいたま市　南区
11,さいたま市　緑区
11,さいたま市　岩槻区
11,川越市
11,熊谷市
11,川口市
11,行田市
11,秩父市
11,所沢市
11,飯能市
11,加須市
11,本庄市
11,東松山市
11,春日部市
11,狭山市
11,羽生市
11,鴻巣市
11,深谷市
11,上尾市
11,草加市
11,越谷市
11,蕨市
11,戸田市
11,入間市
11,鳩ヶ谷市
11,朝霞市
11,志木市
11,和光市
11,新座市
11,桶川市
11,久喜市
11,北本市
11,八潮市
11,富士見市
11,三郷市
11,蓮田市
11,坂戸市
11,幸手市
11,鶴ヶ島市
11,日高市
11,吉川市
11,ふじみ野市
11,北足立郡　伊奈町
11,入間郡　三芳町
11,入間郡　毛呂山町
11,入間郡　越生町
11,比企郡　滑川町
11,比企郡　嵐山町
11,比企郡　小川町
11,比企郡　川島町
11,比企郡　吉見町
11,比企郡　鳩山町
11,比企郡　ときがわ町
11,秩父郡　横瀬町
11,秩父郡　皆野町
11,秩父郡　長瀞町
11,秩父郡　小鹿野町
11,秩父郡　東秩父村
11,児玉郡　美里町
11,児玉郡　神川町
11,児玉郡　上里町
11,大里郡　寄居町
11,南埼玉郡　宮代町
11,南埼玉郡　白岡町
11,北葛飾郡　杉戸町
11,北葛飾郡　松伏町
12,千葉市　中央区
12,千葉市　花見川区
12,千葉市　稲毛区
12,千葉市　若葉区
12,千葉市　緑区
12,千葉市　美浜区
12,銚子市
12,市川市
12,船橋市
12,館山市
12,木更津市
12,松戸市
12,野田市
12,茂原市
12,成田市
12,佐倉市
12,東金市
12,旭市
12,習志野市
12,柏市
12,勝浦市
12,市原市
12,流山市
12,八千代市
12,我孫子市
12,鴨川市
12,鎌ヶ谷市
12,君津市
12,富津市
12,浦安市
12,四街道市
12,袖ヶ浦市
12,八街市
12,印西市
12,白井市
12,富里市
12,南房総市
12,匝瑳市
12,香取市
12,山武市
12,いすみ市
12,印旛郡　酒々井町
12,印旛郡　栄町
12,香取郡　神崎町
12,香取郡　多古町
12,香取郡　東庄町
12,山武郡　大網白里町
12,山武郡　九十九里町
12,山武郡　芝山町
12,山武郡　横芝光町
12,長生郡　一宮町
12,長生郡　睦沢町
12,長生郡　長生村
12,長生郡　白子町
12,長生郡　長柄町
12,長生郡　長南町
12,夷隅郡　大多喜町
12,夷隅郡　御宿町
12,安房郡　鋸南町
13,千代田区
13,中央区
13,港区
13,新宿区
13,文京区
13,台東区
13,墨田区
13,江東区
13,品川区
13,目黒区
13,大田区
13,世田谷区
13,渋谷区
13,中野区
13,杉並区
13,豊島区
13,北区
13,荒川区
13,板橋区
13,練馬区
13,足立区
13,葛飾区
13,江戸川区
13,八王子市
13,立川市
13,武蔵野市
13,三鷹市
13,青梅市
13,府中市
13,昭島市
13,調布市
13,町田市
13,小金井市
13,小平市
13,日野市
13,東村山市
13,国分寺市
13,国立市
13,福生市
13,狛江市
13,東大和市
13,清瀬市
13,東久留米市
13,武蔵村山市
13,多摩市
13,稲城市
13,羽村市
13,あきる野市
13,西東京市
13,西多摩郡　瑞穂町
13,西多摩郡　日の出町
13,西多摩郡　檜原村
13,西多摩郡　奥多摩町
13,島しょ　大島町
13,島しょ　利島村
13,島しょ　新島村
13,島しょ　神津島村
13,島しょ　三宅村
13,島しょ　御蔵島村
13,島しょ　八丈町
13,島しょ　青ヶ島村
13,島しょ　小笠原村
14,横浜市　鶴見区
14,横浜市　神奈川区
14,横浜市　西区
14,横浜市　中区
14,横浜市　南区
14,横浜市　保土ヶ谷区
14,横浜市　磯子区
14,横浜市　金沢区
14,横浜市　港北区
14,横浜市　戸塚区
14,横浜市　港南区
14,横浜市　旭区
14,横浜市　緑区
14,横浜市　瀬谷区
14,横浜市　栄区
14,横浜市　泉区
14,横浜市　青葉区
14,横浜市　都筑区
14,川崎市　川崎区
14,川崎市　幸区
14,川崎市　中原区
14,川崎市　高津区
14,川崎市　多摩区
14,川崎市　宮前区
14,川崎市　麻生区
14,相模原市　緑区
14,相模原市　中央区
14,相模原市　南区
14,横須賀市
14,平塚市
14,鎌倉市
14,藤沢市
14,小田原市
14,茅ヶ崎市
14,逗子市
14,三浦市
14,秦野市
14,厚木市
14,大和市
14,伊勢原市
14,海老名市
14,座間市
14,南足柄市
14,綾瀬市
14,三浦郡　葉山町
14,高座郡　寒川町
14,中郡　大磯町
14,中郡　二宮町
14,足柄上郡　中井町
14,足柄上郡　大井町
14,足柄上郡　松田町
14,足柄上郡　山北町
14,足柄上郡　開成町
14,足柄下郡　箱根町
14,足柄下郡　真鶴町
14,足柄下郡　湯河原町
14,愛甲郡　愛川町
14,愛甲郡　清川村
15,新潟市
15,新潟市　北区
15,新潟市　東区
15,新潟市　中央区
15,新潟市　江南区
15,新潟市　秋葉区
15,新潟市　南区
15,新潟市　西区
15,新潟市　西蒲区
15,長岡市
15,三条市
15,柏崎市
15,新発田市
15,小千谷市
15,加茂市
15,十日町市
15,見附市
15,村上市
15,燕市
15,糸魚川市
15,妙高市
15,五泉市
15,上越市
15,阿賀野市
15,佐渡市
15,魚沼市
15,南魚沼市
15,胎内市
15,北蒲原郡　聖籠町
15,西蒲原郡　弥彦村
15,南蒲原郡　田上町
15,東蒲原郡　阿賀町
15,三島郡　出雲崎町
15,南魚沼郡　湯沢町
15,中魚沼郡　津南町
15,刈羽郡　刈羽村
15,中頸城郡　妙高高原町
15,中頸城郡　妙高村
15,岩船郡　関川村
15,岩船郡　粟島浦村
16,富山市
16,高岡市
16,魚津市
16,氷見市
16,滑川市
16,黒部市
16,砺波市
16,小矢部市
16,南砺市
16,射水市
16,中新川郡　舟橋村
16,中新川郡　上市町
16,中新川郡　立山町
16,下新川郡　入善町
16,下新川郡　朝日町
17,金沢市
17,七尾市
17,小松市
17,輪島市
17,珠洲市
17,加賀市
17,羽咋市
17,かほく市
17,白山市
17,能美市
17,能美郡　川北町
17,石川郡　野々市町
17,河北郡　津幡町
17,河北郡　内灘町
17,羽咋郡　志賀町
17,羽咋郡　宝達清水町
17,鹿島郡　中能登町
17,鳳珠郡　穴水町
17,鳳珠郡　能登町
18,福井市
18,敦賀市
18,小浜市
18,大野市
18,勝山市
18,鯖江市
18,あわら市
18,越前市
18,坂井市
18,吉田郡　永平寺町
18,今立郡　池田町
18,南条郡　南越前町
18,丹生郡　越前町
18,三方郡　美浜町
18,大飯郡　高浜町
18,大飯郡　おおい町
18,三方上中郡　若狭町
19,甲府市
19,富士吉田市
19,都留市
19,山梨市
19,大月市
19,韮崎市
19,南アルプス市
19,北杜市
19,甲斐市
19,笛吹市
19,上野原市
19,甲州市
19,中央市
19,西八代郡　市川三郷町
19,南巨摩郡　早川町
19,南巨摩郡　身延町
19,南巨摩郡　南部町
19,南巨摩郡　富士川町
19,中巨摩郡　昭和町
19,南都留郡　道志村
19,南都留郡　西桂町
19,南都留郡　忍野村
19,南都留郡　山中湖村
19,南都留郡　鳴沢村
19,南都留郡　富士河口湖町
19,北都留郡　小菅村
19,北都留郡　丹波山村
20,長野市
20,松本市
20,上田市
20,岡谷市
20,飯田市
20,諏訪市
20,須坂市
20,小諸市
20,伊那市
20,駒ヶ根市
20,中野市
20,大町市
20,飯山市
20,茅野市
20,塩尻市
20,佐久市
20,千曲市
20,東御市
20,安曇野市
20,南佐久郡　小海町
20,南佐久郡　川上村
20,南佐久郡　南牧村
20,南佐久郡　南相木村
20,南佐久郡　北相木村
20,南佐久郡　佐久穂町
20,北佐久郡　軽井沢町
20,北佐久郡　御代田町
20,北佐久郡　立科町
20,小県郡　青木村
20,小県郡　長和町
20,諏訪郡　下諏訪町
20,諏訪郡　富士見町
20,諏訪郡　原村
20,上伊那郡　辰野町
20,上伊那郡　箕輪町
20,上伊那郡　飯島町
20,上伊那郡　南箕輪村
20,上伊那郡　中川村
20,上伊那郡　宮田村
20,下伊那郡　松川町
20,下伊那郡　高森町
20,下伊那郡　阿南町
20,下伊那郡　阿智村
20,下伊那郡　平谷村
20,下伊那郡　根羽村
20,下伊那郡　下條村
20,下伊那郡　売木村
20,下伊那郡　天龍村
20,下伊那郡　泰阜村
20,下伊那郡　喬木村
20,下伊那郡　豊丘村
20,下伊那郡　大鹿村
20,木曽郡　上松町
20,木曽郡　南木曽町
20,木曽郡　木祖村
20,木曽郡　王滝村
20,木曽郡　大桑村
20,木曽郡　山口村
20,木曽郡　木曽町
20,東筑摩郡　麻績村
20,東筑摩郡　生坂村
20,東筑摩郡　山形村
20,東筑摩郡　朝日村
20,東筑摩郡　筑北村
20,北安曇郡　池田町
20,北安曇郡　松川村
20,北安曇郡　白馬村
20,北安曇郡　小谷村
20,埴科郡　坂城町
20,上高井郡　小布施町
20,上高井郡　高山村
20,下高井郡　山ノ内町
20,下高井郡　木島平村
20,下高井郡　野沢温泉村
20,上水内郡　信濃町
20,上水内郡　小川村
20,上水内郡　飯綱町
20,下水内郡　栄村
21,岐阜市
21,大垣市
21,高山市
21,多治見市
21,関市
21,中津川市
21,美濃市
21,瑞浪市
21,羽島市
21,恵那市
21,美濃加茂市
21,土岐市
21,各務原市
21,可児市
21,山県市
21,瑞穂市
21,飛騨市
21,本巣市
21,郡上市
21,下呂市
21,海津市
21,羽島郡　岐南町
21,羽島郡　笠松町
21,養老郡　養老町
21,不破郡　垂井町
21,不破郡　関ヶ原町
21,安八郡　神戸町
21,安八郡　輪之内町
21,安八郡　安八町
21,揖斐郡　揖斐川町
21,揖斐郡　大野町
21,揖斐郡　池田町
21,本巣郡　北方町
21,加茂郡　坂祝町
21,加茂郡　富加町
21,加茂郡　川辺町
21,加茂郡　七宗町
21,加茂郡　八百津町
21,加茂郡　白川町
21,加茂郡　東白川村
21,可児郡　御嵩町
21,大野郡　白川村
22,静岡市
22,静岡市　葵区
22,静岡市　駿河区
22,静岡市　清水区
22,浜松市
22,浜松市　中区
22,浜松市　東区
22,浜松市　西区
22,浜松市　南区
22,浜松市　北区
22,浜松市　浜北区
22,浜松市　天竜区
22,沼津市
22,熱海市
22,三島市
22,富士宮市
22,伊東市
22,島田市
22,富士市
22,磐田市
22,焼津市
22,掛川市
22,藤枝市
22,御殿場市
22,袋井市
22,下田市
22,裾野市
22,湖西市
22,伊豆市
22,御前崎市
22,菊川市
22,伊豆の国市
22,牧之原市
22,賀茂郡　東伊豆町
22,賀茂郡　河津町
22,賀茂郡　南伊豆町
22,賀茂郡　松崎町
22,賀茂郡　西伊豆町
22,田方郡　函南町
22,駿東郡　清水町
22,駿東郡　長泉町
22,駿東郡　小山町
22,榛原郡　吉田町
22,榛原郡　川根本町
22,周智郡　森町
23,名古屋市　千種区
23,名古屋市　東区
23,名古屋市　北区
23,名古屋市　西区
23,名古屋市　中村区
23,名古屋市　中区
23,名古屋市　昭和区
23,名古屋市　瑞穂区
23,名古屋市　熱田区
23,名古屋市　中川区
23,名古屋市　港区
23,名古屋市　南区
23,名古屋市　守山区
23,名古屋市　緑区
23,名古屋市　名東区
23,名古屋市　天白区
23,豊橋市
23,岡崎市
23,一宮市
23,瀬戸市
23,半田市
23,春日井市
23,豊川市
23,津島市
23,碧南市
23,刈谷市
23,豊田市
23,安城市
23,西尾市
23,蒲郡市
23,犬山市
23,常滑市
23,江南市
23,小牧市
23,稲沢市
23,新城市
23,東海市
23,大府市
23,知多市
23,知立市
23,尾張旭市
23,高浜市
23,岩倉市
23,豊明市
23,日進市
23,田原市
23,愛西市
23,清須市
23,北名古屋市
23,弥富市
23,みよし市
23,あま市
23,愛知郡　東郷町
23,愛知郡　長久手町
23,西春日井郡　豊山町
23,丹羽郡　大口町
23,丹羽郡　扶桑町
23,海部郡　大治町
23,海部郡　蟹江町
23,海部郡　飛島村
23,海部郡　弥富町
23,知多郡　阿久比町
23,知多郡　東浦町
23,知多郡　南知多町
23,知多郡　美浜町
23,知多郡　武豊町
23,幡豆郡　一色町
23,幡豆郡　吉良町
23,幡豆郡　幡豆町
23,額田郡　幸田町
23,北設楽郡　設楽町
23,北設楽郡　東栄町
23,北設楽郡　豊根村
24,津市
24,四日市市
24,伊勢市
24,松阪市
24,桑名市
24,鈴鹿市
24,名張市
24,尾鷲市
24,亀山市
24,鳥羽市
24,熊野市
24,いなべ市
24,志摩市
24,伊賀市
24,桑名郡　木曽岬町
24,員弁郡　東員町
24,三重郡　菰野町
24,三重郡　朝日町
24,三重郡　川越町
24,多気郡　多気町
24,多気郡　明和町
24,多気郡　大台町
24,度会郡　玉城町
24,度会郡　紀勢町
24,度会郡　大内山村
24,度会郡　度会町
24,度会郡　大紀町
24,度会郡　南伊勢町
24,北牟婁郡　紀北町
24,南牟婁郡　御浜町
24,南牟婁郡　紀宝町
25,大津市
25,彦根市
25,長浜市
25,近江八幡市
25,草津市
25,守山市
25,栗東市
25,甲賀市
25,野洲市
25,湖南市
25,高島市
25,東近江市
25,米原市
25,蒲生郡　日野町
25,蒲生郡　竜王町
25,愛知郡　愛荘町
25,犬上郡　豊郷町
25,犬上郡　甲良町
25,犬上郡　多賀町
26,京都市　北区
26,京都市　上京区
26,京都市　左京区
26,京都市　中京区
26,京都市　東山区
26,京都市　下京区
26,京都市　南区
26,京都市　右京区
26,京都市　伏見区
26,京都市　山科区
26,京都市　西京区
26,福知山市
26,舞鶴市
26,綾部市
26,宇治市
26,宮津市
26,亀岡市
26,城陽市
26,向日市
26,長岡京市
26,八幡市
26,京田辺市
26,京丹後市
26,南丹市
26,木津川市
26,乙訓郡　大山崎町
26,久世郡　久御山町
26,綴喜郡　井手町
26,綴喜郡　宇治田原町
26,相楽郡　笠置町
26,相楽郡　和束町
26,相楽郡　精華町
26,相楽郡　南山城村
26,船井郡　京丹波町
26,与謝郡　伊根町
26,与謝郡　与謝野町
27,大阪市　都島区
27,大阪市　福島区
27,大阪市　此花区
27,大阪市　西区
27,大阪市　港区
27,大阪市　大正区
27,大阪市　天王寺区
27,大阪市　浪速区
27,大阪市　西淀川区
27,大阪市　東淀川区
27,大阪市　東成区
27,大阪市　生野区
27,大阪市　旭区
27,大阪市　城東区
27,大阪市　阿倍野区
27,大阪市　住吉区
27,大阪市　東住吉区
27,大阪市　西成区
27,大阪市　淀川区
27,大阪市　鶴見区
27,大阪市　住之江区
27,大阪市　平野区
27,大阪市　北区
27,大阪市　中央区
27,堺市
27,堺市　堺区
27,堺市　中区
27,堺市　東区
27,堺市　西区
27,堺市　南区
27,堺市　北区
27,堺市　美原区
27,岸和田市
27,豊中市
27,池田市
27,吹田市
27,泉大津市
27,高槻市
27,貝塚市
27,守口市
27,枚方市
27,茨木市
27,八尾市
27,泉佐野市
27,富田林市
27,寝屋川市
27,河内長野市
27,松原市
27,大東市
27,和泉市
27,箕面市
27,柏原市
27,羽曳野市
27,門真市
27,摂津市
27,高石市
27,藤井寺市
27,東大阪市
27,泉南市
27,四條畷市
27,交野市
27,大阪狭山市
27,阪南市
27,三島郡　島本町
27,豊能郡　豊能町
27,豊能郡　能勢町
27,泉北郡　忠岡町
27,泉南郡　熊取町
27,泉南郡　田尻町
27,泉南郡　岬町
27,南河内郡　太子町
27,南河内郡　河南町
27,南河内郡　千早赤阪村
28,神戸市　東灘区
28,神戸市　灘区
28,神戸市　兵庫区
28,神戸市　長田区
28,神戸市　須磨区
28,神戸市　垂水区
28,神戸市　北区
28,神戸市　中央区
28,神戸市　西区
28,姫路市
28,尼崎市
28,明石市
28,西宮市
28,洲本市
28,芦屋市
28,伊丹市
28,相生市
28,豊岡市
28,加古川市
28,赤穂市
28,西脇市
28,宝塚市
28,三木市
28,高砂市
