M270000017,大阪府大阪市東住吉区照ヶ丘矢田2-6-16 1F 
M270002213,大阪府大阪市阿倍野区阿倍野筋４-１３-７ 
M270002355,大阪府大阪市北区中崎２－２－２７ティーアンドエスビル２０１ 
M270002356,大阪府大阪市北区中崎２－２－２７ティーアンドエスビル２０３ 
M270002358,大阪府大阪市北区中崎２－２－２７ティーアンドエスビル３０１ 
M270002360,大阪府大阪市北区中崎２－２－２７ティーアンドエスビル３０２ 
M270002363,大阪府大阪市北区中崎２－２－２７ティーアンドエスビル３０３ 
M270002366,大阪府大阪市北区中崎２－２－２７ティーアンドエスビル３０４ 
M270002369,大阪府大阪市北区中崎２－２－２７ティーアンドエスビル４０１ 
M270002370,大阪府大阪市北区中崎２－２－２７ティーアンドエスビル４０２ 
M270002372,大阪府大阪市北区中崎２－２－２７ティーアンドエスビル４０３ 
M270002374,大阪府大阪市北区中崎２－２－２７ティーアンドエスビル４０４ 
M270002376,大阪府大阪市北区中崎２－２－２７ティーアンドエスビル５０１ 
M270002378,大阪府大阪市北区中崎２－２－２７ティーアンドエスビル５０２ 
M270002380,大阪府大阪市北区中崎２－２－２７ティーアンドエスビル５０３ 
M270002381,大阪府大阪市北区中崎２－２－２７ティーアンドエスビル５０４ 
M270002573,大阪府大阪市天王寺区下寺町２－３－１３ 
M270002587,大阪府大阪市西成区天下茶屋３?２７?５ マンションサンパレス 2A 
M270002589,大阪府大阪市西成区天下茶屋３?２７?５ マンションサンパレス 3A 
M270002590,大阪府大阪市西成区天下茶屋３?２７?５ マンションサンパレス 3B 
M270002591,大阪府大阪市西成区天下茶屋３?２７?５ マンションサンパレス 3C 
M270002592,大阪府大阪市西成区天下茶屋３?２７?５ マンションサンパレス 3D 
M270002593,大阪府大阪市西成区鶴見橋１－９－２３ ＴＳＵＲＵ　ＨＯＵＳＥ 
M270002595,大阪府大阪市西成区梅南１－３－２１ 
M270002596,大阪府大阪市西区新町3－10－21　アーバンプラザ　6004 
M270002597,大阪府大阪市西区新町3－10－21　アーバンプラザ　5004 
M270002598,大阪府大阪市西区新町3－10－21　アーバンプラザ　4005 
M270002599,大阪府大阪市西区新町3－10－21　アーバンプラザ　4001 
M270002698,大阪府大阪市浪速区大国１－２－６　カーサ・アミ403 
M270002898,大阪府大阪市西成区天下茶屋２ー２０ー１４ エステート吉田 208 
M270002899,大阪府大阪市西成区天下茶屋２ー２０ー１４ エステート吉田 301 
M270002900,大阪府大阪市西成区天下茶屋２ー２０ー１４ エステート吉田 403 
M270002901,大阪府大阪市西成区天下茶屋２ー２０?１４ エステート吉田 405 
M270002902,大阪府大阪市西成区天下茶屋２ー２０ー１４ エステート吉田 406 
M270002903,大阪府大阪市西成区天下茶屋２ー２０?１４ エステート吉田 408 
M270002933,大阪府大阪市北区中津4-7-3ダイハンビル3-1,3-2,4-1,4-2,5-1 
M270003026,大阪府大阪市生野区勝山北1-20-17　黒田邸1階 
M270003126,大阪府大阪市阿倍野区阿倍野筋5-8-47 
M270003151,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 201 
M270003152,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 301 
M270003153,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 303 
M270003154,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 203 
M270003155,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 304 
M270003156,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 401 
M270003157,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 403 
M270003158,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 404 
M270003159,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 501 
M270003160,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 503 
M270003161,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 504 
M270003162,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 603 
M270003163,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 604 
M270003164,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 701 
M270003165,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 703 
M270003166,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 704 
M270003167,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 801 
M270003168,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 803 
M270003169,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 804 
M270003170,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 901 
M270003171,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 903 
M270003172,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 904 
M270003174,大阪府大阪市西区千代崎１－２４－８ ラフォーレ千代崎 601 
M270003179,大阪府大阪市住之江区北加賀屋5-8-57　新一ビル　101 
M270003180,大阪府大阪市住之江区北加賀屋5-8-57　新一ビル　302 
M270003186,大阪府大阪市平野区加美鞍作1－7－22 
M270003192,大阪府大阪市東住吉区東田辺3－5－2 
M270003226,大阪府大阪市生野区新今里６－５－２５ 
M270003228,大阪府大阪市中央区東心斎橋2-3-4　エムズビレッジ　305 
M270003248,大阪府大阪市生野区生野西２－２－３ 
M270003261,大阪府大阪市住之江区住之江1-3-28 
M270003296,大阪府大阪市東淀川区東中島1-5-25　藤和シティコープ新大阪605 
M270003297,大阪府大阪市東淀川区東中島1-5-25　藤和シティコープ新大阪206 
M270003299,大阪府大阪市東淀川区東中島1-5-25　藤和シティコープ新大阪402 
M270003300,大阪府大阪市東淀川区東中島1-5-25　藤和シティコープ新大阪310 
M270003302,大阪府大阪市東淀川区東中島1-5-25　藤和シティコープ新大阪903 
M270003303,大阪府大阪市東淀川区東中島1-5-25　藤和シティコープ新大阪301 
M270003305,大阪府大阪市東淀川区東中島1-5-25　藤和シティコープ新大阪411 
M270003306,大阪府大阪市東淀川区東中島1-5-25　藤和シティコープ新大阪905 
M270003308,大阪府大阪市東淀川区東中島1-5-25　藤和シティコープ新大阪302 
M270003372,大阪府大阪市浪速区元町2-13-3 ハクユウ元町403 
M270003373,大阪府大阪市浪速区元町2-13-3 ハクユウ元町404 
M270003374,大阪府大阪市浪速区日本橋東1-2-14 ロイヤルミナミ402 
M270003375,大阪府大阪市浪速区日本橋東1-2-14 ロイヤルミナミ403 
M270003454,大阪府大阪市港区築港2-7-33Universal Bay501号室 
M270003457,大阪府大阪市淀川区十三本町１－１０－１８ 
M270003569,大阪府大阪市生野区勝山北２－１－１７ 
M270003685,大阪府大阪市中央区博労町１－４－３ ＲＥＢＡＮＧＡ船場アパートメント 202 
M270003686,大阪府大阪市中央区博労町１－４－３ ＲＥＢＡＮＧＡ船場アパートメント 601 
M270003731,大阪府大阪市西成区花園北２－３－８ｍｋアリーナ２０１ 
M270003926,大阪府大阪市住吉区万代４－１１－１５ 
M270003935,大阪府大阪市浪速区元町2丁目13-3ハクユウ元町206 
M270003936,大阪府大阪市浪速区元町2丁目13-3ハクユウ元町602 
M270003938,大阪府大阪市浪速区元町2丁目13-3ハクユウ元町705 
M270003939,大阪府大阪市浪速区大国１－７－８　６０１ 
M270003941,大阪府大阪市浪速区大国１－７－８　３０１ 
M270003942,大阪府大阪市浪速区大国１－７－８　２０２ 
M270004001,大阪府大阪市淀川区西三国４－６－１２ 
M270004018,大阪府大阪市北区天神橋３－１－２８第三グランドビル５０３ 
M270004029,大阪府大阪市中央区西心斎橋２－１３－５リヴィエール道頓堀５０２ 
M270004030,大阪府大阪市西成区松１－１０－２９ 
M270004031,大阪府大阪市西成区鶴見橋２－１１－２７エルメゾン１ｓｔ　１０１ 
M270004032,大阪府大阪市西成区鶴見橋２－１１－２７エルメゾン１ｓｔ　１０５ 
M270004033,大阪府大阪市西成区鶴見橋２－１１－２７エルメゾン１ｓｔ　２０１ 
M270004034,大阪府大阪市西成区鶴見橋２－１１－２７エルメゾン１ｓｔ　２０２ 
M270004035,大阪府大阪市西成区鶴見橋２－１１－２７エルメゾン１ｓｔ　２０５ 
M270004036,大阪府大阪市西成区鶴見橋２－１１－６　１０４ 
M270004037,大阪府大阪市西成区鶴見橋２－１１－６　１０５ 
M270004057,大阪府大阪市東成区玉津２－９－２０　２F 
M270004066,大阪府大阪市浪速区元町2－13－3ハクユウ元町302 
M270004067,大阪府大阪市中央区南船場1－8－12コーポ南船場１０１ 
M270004107,大阪府大阪市西成区中開１－３－２３アメニティ愛寿３０１ 
M270004109,大阪府大阪市西成区中開１－３－２３アメニティ愛寿６０７ 
M270004141,大阪府大阪市中央区博労町１?４?３ ブランシール船場 801 
M270004231,大阪府大阪市浪速区久保吉１－６－１９ 
M270004266,大阪府大阪市東住吉区山坂５－１２－１９ 
M270004322,大阪府大阪市浪速区日本橋３－７－７エステムコート難波Ⅱアレグリア１１０４ 
M270004326,大阪府大阪市平野区瓜破３－３－２２ 
M270004329,大阪府大阪市中央区日本橋２－１７－２アリタクローバーハイツ７０１ 
M270004331,大阪府大阪市中央区日本橋２－１７－１１ラフィーヌ日本橋４０２ 
M270004332,大阪府大阪市西成区天下茶屋北２－５－２４ 
M270004378,大阪府大阪市東淀川区小松１－１８－５ 
M270004448,大阪府大阪市西区新町３－１０－２１アーバンプラザ３００２ 
M270004451,大阪府大阪市西区新町３－１０－２１アーバンプラザ４００３ 
M270004455,大阪府大阪市淀川区新北野３－１２－１０ＳＧＩ塚本２Ｃ 
M270004456,大阪府大阪市西区新町３－１０－２１アーバンプラザ２００５ 
M270004457,大阪府大阪市西区新町３－１０－２１アーバンプラザ１００３ 
M270004462,大阪府大阪市淀川区新北野３－１２－１０ＳＧＩ塚本２Ｅ 
M270004464,大阪府大阪市淀川区新北野３－１２－１０ＳＧＩ塚本２Ｉ 
M270004468,大阪府大阪市淀川区新北野３－１２－１０ＳＧＩ塚本４Ｉ 
M270004480,大阪府大阪市浪速区敷津東１－５－５ 
M270004481,大阪府大阪市浪速区敷津西２－１３－１４メゾンヘルム３０１ 
M270004482,大阪府大阪市浪速区敷津西２－１３－１４メゾンヘルム５０１ 
M270004526,大阪府大阪市福島区大開１－１１－２３キヨシビル２０２ 
M270004527,大阪府大阪市福島区大開１－１１－２３キヨシビル２０１ 
M270004561,大阪府大阪市西淀川区歌島１－６－７ 
M270004563,大阪府大阪市中央区博労町１－４－３　２０１ 
M270004564,大阪府大阪市中央区博労町１－４－３　５０１ 
M270004565,大阪府大阪市中央区博労町１－４－３　４０３ 
M270004577,大阪府大阪市西成区花園北１－９－１０三光ハウス１０２、１０８、２０１ 
M270004581,大阪府大阪市天王寺区大道１－２－２８サンプラザ四天王寺１０１号 
M270004744,大阪府大阪市西成区玉出西２－１３－２７ 
M270004817,大阪府大阪市中央区千日前２－３－１－３０５、４０３ 
M270004872,大阪府大阪市浪速区大国１－７－８マンションホースタイ　２０１号室 
M270004875,大阪府大阪市浪速区大国１－７－８マンションホースタイ　２０３号室 
M270004912,大阪府大阪市東淀川区下新庄４－１９－９ハイツヒライ２０３ 
M270004914,大阪府大阪市東淀川区下新庄４－１９－９ハイツヒライ３０３ 
M270004915,大阪府大阪市東淀川区下新庄４－１９－９ハイツヒライ３０４ 
M270004917,大阪府大阪市東淀川区下新庄４－１９－９ハイツヒライ３０６ 
M270004919,大阪府大阪市東淀川区下新庄４－２０－６ハイツヒライⅡ１０６ 
M270004921,大阪府大阪市東淀川区下新庄４－２０－６ハイツヒライⅡ２０２ 
M270004922,大阪府大阪市東淀川区下新庄４－２０－６ハイツヒライⅡ２０３ 
M270004924,大阪府大阪市東淀川区下新庄４－２０－６ハイツヒライⅡ２０５ 
M270004925,大阪府大阪市東淀川区下新庄４－２０－６ハイツヒライⅡ２０７ 
M270004926,大阪府大阪市東淀川区下新庄４－２０－６ハイツヒライⅡ２０８ 
M270004986,大阪府大阪市東住吉区駒川５－１２－７ 
M270005123,大阪府大阪市西淀川区柏里１－１８－８ 
M270005132,大阪府大阪市中央区島之内２－５－４　２０１ 
M270005135,大阪府大阪市中央区島之内２－５－４　２０３ 
M270005136,大阪府大阪市中央区島之内２－５－４　２０５ 
M270005138,大阪府大阪市中央区島之内２－５－４　８０４ 
M270005140,大阪府大阪市中央区島之内２－５－４　９０１ 
M270005206,大阪府大阪市浪速区日本橋４丁目15番４－５０５ 
M270005209,大阪府大阪市浪速区日本橋４丁目15番４－５０４ 
M270005213,大阪府大阪市淀川区東三国５－１－１３ 
M270005230,大阪府大阪市城東区成育４－２５－７白樺マンション３０２ 
M270005231,大阪府大阪市城東区成育４－２５－７白樺マンション３０１ 
M270005232,大阪府大阪市城東区成育４－２５－７白樺マンション２０１ 
M270005280,大阪府大阪市中央区日本橋１－１８－５ＭＳ日本一ビル２０１号室 
M270005282,大阪府大阪市淀川区西中島５－１－８日研ビル４１０ 
M270005283,大阪府大阪市淀川区西中島５－１－８日研ビル５１０ 
M270005284,大阪府大阪市淀川区西中島５－１－８日研ビル６１０ 
M270005285,大阪府大阪市淀川区西中島５－１－８日研ビル７０５ 
M270005286,大阪府大阪市淀川区西中島５－１－８日研ビル１００２ 
M270005287,大阪府大阪市淀川区西中島５－１－８日研ビル１００４ 
M270005288,大阪府大阪市淀川区西中島５－１－８日研ビル１００５ 
M270005289,大阪府大阪市淀川区西中島５－１－８日研ビル１１０３ 
M270005290,大阪府大阪市淀川区西中島５－１－８日研ビル１１０５ 
M270005298,大阪府大阪市浪速区芦原１－２－１セレニテ難波西１００４ 
M270005376,大阪府大阪市浪速区難波中３－１６－２３東和コーポラス３０１ 
M270005377,大阪府大阪市浪速区難波中３－１６－２３東和コーポラス３０５ 
M270005378,大阪府大阪市浪速区難波中３－１６－２３東和コーポラス３０６ 
M270005379,大阪府大阪市浪速区難波中３－１６－２３東和コーポラス４０３ 
M270005380,大阪府大阪市浪速区難波中３－１６－２３東和コーポラス５０１ 
M270005382,大阪府大阪市浪速区難波中３－１６－２３東和コーポラス５０２ 
M270005409,大阪府大阪市城東区蒲生4－１１－６ 
M270005439,大阪府大阪市城東区中浜３－２６－１１フレンドビル3Ｆ 
M270005523,大阪府大阪市浪速区木津川2－4－58 
M270005534,大阪府大阪市浪速区日本橋東１丁目２－１４ロイヤルミナミ６０２ 
M270005559,大阪府大阪市北区長柄中１－３－１４ 
M270005563,大阪府大阪市天王寺区南河堀町9－38 
M270005623,大阪府大阪市中央区道頓堀１丁目３番１７号 さの半ビル－201,301,401,501 
M270005629,大阪府大阪市中央区谷町六丁目13番11号 
M270005678,大阪府大阪市東淀川区東中島１－２０－１２ユニゾーン新大阪９０１ 
M270005679,大阪府大阪市東淀川区東中島１－２０－１２ユニゾーン新大阪７１６ 
M270005760,大阪府大阪市福島区福島1-2-17meetMe梅田西601号室 
M270005761,大阪府大阪市福島区福島1-2-17meetMe梅田西602号室 
M270005762,大阪府大阪市福島区福島1-2-17meetMe梅田西903号室 
M270005768,大阪府大阪市浪速区芦原１－２－１セレニテ難波西７０１ 
M270005769,大阪府大阪市都島区中野町４－２－１２丸一マンション１０２ 
M270005770,大阪府大阪市都島区中野町４－２－１３丸一マンション４０６ 
M270005771,大阪府大阪市都島区中野町４－２－１４丸一マンション５０２ 
M270005813,大阪府大阪市浪速区恵美須西３－２－４栄光キリストビル８０７ 
M270005814,大阪府大阪市浪速区恵美須西３－２－４栄光キリストビル８０１ 
M270005815,大阪府大阪市浪速区恵美須西３－２－４栄光キリストビル４０８ 
M270005816,大阪府大阪市浪速区恵美須西３－２－４栄光キリストビル４０３ 
M270005817,大阪府大阪市浪速区恵美須西３－２－４栄光キリストビル３０１ 
M270005821,大阪府大阪市東成区中道３丁目１６－２５ 
M270005878,大阪府大阪市西成区北津守４－５－１９ 
M270005909,大阪府大阪市淀川区西中島5丁目1-8日研ビル６０８ 
M270005910,大阪府大阪市淀川区西中島5丁目1-8日研ビル６０４ 
M270005911,大阪府大阪市淀川区西中島5丁目1-8日研ビル４１１ 
M270005912,大阪府大阪市淀川区西中島5丁目1-8日研ビル４０８ 
M270005913,大阪府大阪市淀川区西中島5丁目1-8日研ビル４０１ 
M270005921,大阪府大阪市浪速区戎本町１－６－２２シティライフエステート難波南３０７ 
M270005922,大阪府大阪市浪速区浪速西２－９－８ 
M270005934,大阪府大阪市浪速区難波中２－５－１５シティーライフナンバ２０３ 
M270005935,大阪府大阪市浪速区難波中２－５－１５シティーライフナンバ４０３ 
M270005936,大阪府大阪市浪速区難波中２－５－１５シティーライフナンバ３０３ 
M270005937,大阪府大阪市浪速区難波中２－５－１５シティーライフナンバ５０３ 
M270005974,大阪府大阪市西区新町1－28－18ルヴィタクオ西大橋２０２ 
M270005976,大阪府大阪市中央区南船場１－１４－７アインズ南船場１００３ 
M270005977,大阪府大阪市中央区島之内一丁目３番３６号 
M270005978,大阪府大阪市西成区花園北2-14-22-101 
M270005979,大阪府大阪市西成区花園北2-14-22-201 
M270005980,大阪府大阪市西成区花園北2-14-22-202 
M270005981,大阪府大阪市西成区天下茶屋2-20-14エステート吉田5F6F 
M270005999,大阪府大阪市東淀川区相川２－１３－７マンションロアジス２０５ 
M270006000,大阪府大阪市東淀川区相川２－１３－７マンションロアジス３０３ 
M270006002,大阪府大阪市東淀川区相川２－１３－７マンションロアジス４０２ 
M270006003,大阪府大阪市東淀川区相川２－１３－７マンションロアジス４０３ 
M270006111,大阪府大阪市浪速区恵美須西３－４－１４ 
M270006115,大阪府大阪市中央区南船場１－４－８後藤マンション２０５ 
M270006116,大阪府大阪市中央区南船場１－４－８後藤マンション３０１ 
M270006117,大阪府大阪市中央区南船場１－４－８後藤マンション３０５ 
M270006118,大阪府大阪市中央区南船場１－４－８後藤マンション４０２ 
M270006119,大阪府大阪市中央区南船場１－４－８後藤マンション５０１ 
M270006121,大阪府大阪市中央区南船場１－４－８後藤マンション５０３ 
M270006122,大阪府大阪市中央区南船場１－４－８後藤マンション６０２ 
M270006123,大阪府大阪市中央区南船場１－４－８後藤マンション６０３ 
M270006209,大阪府大阪市浪速区恵美須西３－２－４－６０８ 
M270006210,大阪府大阪市浪速区恵美須西３－２－４－６０６ 
M270006211,大阪府大阪市浪速区恵美須西３－２－４－９０７ 
M270006213,大阪府大阪市浪速区恵美須西３－２－４－９０８ 
M270006214,大阪府大阪市浪速区恵美須西３－２－４－７０２ 
M270006227,大阪府大阪市浪速区稲荷１－１１－８ 
M270006233,大阪府大阪市浪速区大国３-７-７ナオシス大国町１０１ 
M270006235,大阪府大阪市浪速区大国３-７-７ナオシス大国町２０１ 
M270006236,大阪府大阪市浪速区大国３-７-７ナオシス大国町２０２ 
M270006297,大阪府大阪市東淀川区西淡路1-15-23フレックス新大阪203 
M270006298,大阪府大阪市東淀川区西淡路1-15-23フレックス新大阪206 
M270006299,大阪府大阪市東淀川区西淡路1-15-23フレックス新大阪303 
M270006301,大阪府大阪市東淀川区西淡路1-15-23フレックス新大阪304 
M270006304,大阪府大阪市東淀川区西淡路1-15-23フレックス新大阪305 
M270006305,大阪府大阪市東淀川区西淡路1-15-23フレックス新大阪402 
M270006306,大阪府大阪市東淀川区西淡路1-15-23フレックス新大阪403 
M270006307,大阪府大阪市東淀川区西淡路1-15-23フレックス新大阪406 
M270006308,大阪府大阪市東淀川区西淡路1-15-23フレックス新大阪502 
M270006309,大阪府大阪市東淀川区西淡路1-15-23フレックス新大阪503 
M270006310,大阪府大阪市東淀川区西淡路1-15-23フレックス新大阪505 
M270006332,大阪府大阪市西成区梅南1－6－24　三和住宅　西棟２０３ 
M270006333,大阪府大阪市西成区梅南1－6－24　三和住宅　東棟２０１ 
M270006334,大阪府大阪市西成区梅南1－6－24　三和住宅　東棟２０３ 
M270006365,大阪府大阪市西成区千本北２－１４－２ 
M270006391,大阪府大阪市城東区成育４－１－１８ 
M270006392,大阪府大阪市東住吉区田辺１－８－２８ 
M270006467,大阪府大阪市東淀川区東中島１－１1-1  
M270006468,大阪府大阪市西成区花園南１－７－２１  ３０１、３０２、４０１、４０２、５０１、５０２ 
M270006469,大阪府大阪市東淀川区東中島1－11－1アネックスニューシティ201 
M270006470,大阪府大阪市東淀川区東中島1－11－1アネックスニューシティ203 
M270006471,大阪府大阪市東淀川区東中島1－11－1アネックスニューシティ301 
M270006472,大阪府大阪市東淀川区東中島1－11－1アネックスニューシティ303 
M270006473,大阪府大阪市東淀川区東中島1－11－1アネックスニューシティ305 
M270006474,大阪府大阪市東淀川区東中島1－11－1アネックスニューシティ402 
M270006475,大阪府大阪市東淀川区東中島1－11－1アネックスニューシティ501 
M270006476,大阪府大阪市東淀川区東中島1－11－1アネックスニューシティ503 
M270006485,大阪府大阪市浪速区芦原１－２－１　セレニテ難波西５０４号 
M270006486,大阪府大阪市浪速区芦原１－２－１　セレニテ難波西１００３号 
M270006487,大阪府大阪市浪速区芦原１－２－１　セレニテ難波西５０３号 
M270006505,大阪府大阪市都島区片町２－１１－４パティオ京橋３０１ 
M270006506,大阪府大阪市都島区片町２－１１－４パティオ京橋３０２ 
M270006507,大阪府大阪市都島区片町２－１１－４パティオ京橋３０３ 
M270006508,大阪府大阪市都島区片町２－１１－４パティオ京橋３０５ 
M270006509,大阪府大阪市都島区片町２－１１－４パティオ京橋３０６ 
M270006510,大阪府大阪市都島区片町２－１１－４パティオ京橋３０７ 
M270006511,大阪府大阪市都島区片町２－１１－４パティオ京橋３０８ 
M270006512,大阪府大阪市都島区片町２－１１－４パティオ京橋３１０ 
M270006513,大阪府大阪市都島区片町２－１１－４パティオ京橋４０１ 
