M010003309,北海道岩見沢市栗沢町万字寿町１番地３
M010010160,北海道倶知安町字樺山５５－16
M010010628,北海道倶知安町字山田１５５番２１９ＡＤＶＥＮＴＵＲＥ
M010010631,北海道倶知安町字山田１６５番２ＦＵＮＫＹ　ＭＯＮＫＥＹ
M010010709,北海道倶知安町山田１６５－３１ミドリコテージ
M010011313,北海道倶知安町字樺山６５番地６４ＫＥＮＯＢＩ　ＨＯＵＳＥ
M010011314,北海道倶知安町字樺山５５番地８ＭＯＮＴＹ
M010011509,北海道倶知安町字樺山３７番地８５
M010000351,北海道積丹町神岬町２７－３
M010008584,北海道仁木町旭台３０３
M010009796,北海道仁木町銀山２丁目２４４番地
M010000161,北海道余市町黒川町７－４０－５
M010002665,北海道余市町山田町６３５番地１１
M010004286,北海道赤井川村字赤井川８９番地１
M010010625,北海道赤井川村常盤３９４番地１
M010003298,北海道室蘭市高砂町グランバレー　高砂
M010003519,北海道苫小牧市桜坂町２丁目１６－３
M010000068,北海道登別市富士町５－２３－２
M010001144,北海道登別市中登別町１６６－１
M010006904,北海道登別市幌別町４－１－２
M010008586,北海道登別市鉱山町１１－１
M010011187,北海道登別市幸町５丁目１２－３
M010001697,北海道伊達市館山下町７－２６
M010001978,北海道壮瞥町字壮瞥温泉１３６
M010001713,北海道白老町字竹浦１１５－１５
M010002669,北海道白老町石山３９番地８５０
M010002674,北海道白老町北吉原３６９－１３４
M010003522,北海道白老町字萩野３３０－９４
M010003532,北海道白老町北吉原６６８番地２４３
M010004009,北海道白老町北吉原３６９－２７３
M010005748,北海道白老町字石山３９番地３２０
M010011507,北海道日高町字豊郷１１５番地
M010001969,北海道新ひだか町静内ときわ町３－３－２０
M010000635,北海道函館市中道１－３５－３２
M010000637,北海道函館市弁天町１５－５
M010000641,北海道函館市湯川町３丁目２３番１６号
M010000642,北海道函館市杉並町１１－１７
M010001141,北海道函館市上野町３６番２１号
M010001683,北海道函館市東山２丁目６４－７東山
M010001686,北海道函館市大縄町１５－１１
M010001712,北海道函館市豊川町２３－６
M010001975,北海道函館市大手町１７番３号
M010001983,北海道函館市大手町１７番５号
M010002668,北海道函館市五稜郭町３５番１４五稜郭ゲストハウスココア
M010002673,北海道函館市五稜郭町３４－１０ピュアライフハーモニー101
M010003526,北海道函館市松川町１２－２２コーポマリーカ102
M010003527,北海道函館市松川町１２－２２コーポマリーカ201
M010003528,北海道函館市松川町１２－２２コーポマリーカ202
M010003994,北海道函館市大森町１４－９
M010004288,北海道函館市元町１４－１２元町パークサイド304
M010004308,北海道函館市新川町２２－１２せいかんビル206
M010004807,北海道函館市昭和２－１６－８ミナミハイツ8号室、10号室
M010006023,北海道函館市豊川町１６番５号メゾンプレジデント402
M010006024,北海道函館市豊川町１６番５号メゾンプレジデント404
M010006025,北海道函館市豊川町１６番５号メゾンプレジデント504
M010006026,北海道函館市豊川町１６番５号メゾンプレジデント602
M010006027,北海道函館市豊川町１６番５号メゾンプレジデント801
M010006028,北海道函館市豊川町１６番５号メゾンプレジデント802
M010006909,北海道函館市弥生町７－２１
M010007961,北海道函館市大手町７－２
M010008443,北海道函館市新川町１３－６
M010009083,北海道函館市新川町２２－１３せいかんビル101
M010009124,北海道函館市大縄町２２－１２ロイヤルシャトー８８　105
M010009125,北海道函館市大縄町２２－１２ロイヤルシャトー８８　106
M010010161,北海道函館市栄町１２－７
M010010632,北海道函館市海岸町５－５ヴィラシティＳＨＵＷＡ306
M010010633,北海道函館市海岸町５－５ヴィラシティＳＨＵＷＡ403
M010010634,北海道函館市海岸町５－５ヴィラシティＳＨＵＷＡ405
M010010710,北海道函館市大縄町２２番１２号ロイヤルシャトー８８107
M010010712,北海道函館市大縄町２２番１２号ロイヤルシャトー８８203
M010011315,北海道函館市大町１４番２２号
M010001976,北海道北斗市当別４０６－７６
M010000346,北海道七飯町藤城３３３－９６
M010003301,北海道七飯町本町３－７－３９
M010006014,北海道七飯町字大沼町２０６番地１
M010007955,北海道七飯町大沼町１０２３－１０
M010009787,北海道長万部町字平里１００番地８
M010001958,北海道旭川市３条通２２丁目１－８７グランドハイツ203
M010001962,北海道旭川市６条通６丁目２７－１５６条コーポ1
M010001964,北海道旭川市６条通６丁目２７－１５６条コーポ2
M010001966,北海道旭川市川端町２条７丁目２６１２番地１２サニーハイツ1
M010003520,北海道旭川市二条通５丁目２１１０－２
M010003990,北海道旭川市台場３条１丁目６番１４号
M010004010,北海道旭川市１条通１９丁目１４８３－１ジャスミン101
M010004011,北海道旭川市１条通１９丁目１４８３－１ジャスミン105
M010004012,北海道旭川市１条通１９丁目１４８３－１ジャスミン201
M010004013,北海道旭川市１条通１９丁目１４８３－４ライラック105
M010004014,北海道旭川市１条通１９丁目１４８３－４ライラック201
M010004015,北海道旭川市１条通１９丁目１４８３－４ライラック106
M010004016,北海道旭川市１条通１９丁目１４８３－４ライラック203
M010004017,北海道旭川市１条通１９丁目１４８３－４ライラック206
M010004300,北海道旭川市東光１条３丁目１－２９グリーンチャイム103
M010004302,北海道旭川市東光１条３丁目１－２９グリーンチャイム201
M010004303,北海道旭川市東光１条３丁目１－２９グリーンチャイム202
M010004808,北海道旭川市永山１条２丁目１番６号
M010004818,北海道旭川市豊岡１２条３丁目４－１３アークシティ旭川201
M010004819,北海道旭川市豊岡１２条３丁目４－１３アークシティ旭川202
M010004820,北海道旭川市豊岡１２条３丁目４－１３アークシティ旭川203
M010004821,北海道旭川市豊岡１２条３丁目４－１３アークシティ旭川205
M010005250,北海道旭川市豊岡１２条３丁目４－１３アークシティ旭川301
M010005252,北海道旭川市豊岡１２条３丁目４－１３アークシティ旭川302
M010005253,北海道旭川市豊岡１２条３丁目４－１３アークシティ旭川303
M010005254,北海道旭川市豊岡１２条３丁目４－１３アークシティ旭川305
M010005263,北海道旭川市神楽５条１４－１－１４　１階
M010006021,北海道旭川市永山４条４丁目４－３
M010006022,北海道旭川市西神楽１線２４号４６３番５０
M010006029,北海道旭川市２条通１０丁目２８８上田ビル301
M010006030,北海道旭川市２条通１０丁目２８８上田ビル302
M010006031,北海道旭川市２条通１０丁目２８８上田ビル303
M010006032,北海道旭川市２条通１０丁目２８８上田ビル305
M010006033,北海道旭川市２条通１０丁目２８８上田ビル306
M010006034,北海道旭川市２条通１０丁目２８８上田ビル307
M010006035,北海道旭川市２条通１０丁目２８８上田ビル308
M010006036,北海道旭川市２条通１０丁目２８８上田ビル310
M010006037,北海道旭川市２条通１０丁目２８８上田ビル501
M010006038,北海道旭川市２条通１０丁目２８８上田ビル505
M010006039,北海道旭川市２条通１０丁目２８８上田ビル601
M010006041,北海道旭川市２条通１０丁目２８８上田ビル605
M010006042,北海道旭川市２条通１０丁目２８８上田ビル702
M010007574,北海道旭川市２条通１０丁目２８８上田ビル705
M010009126,北海道旭川市豊岡６条１丁目１番地１１マイフローラ103
M010009127,北海道旭川市豊岡６条１丁目１番地１１マイフローラ201
M010009794,北海道旭川市豊岡十条六丁目４-１３
M010009798,北海道旭川市１条通２０丁目５５５番地３ハウス１２０
M010010157,北海道旭川市東光１条１丁目３番５号
M010003991,北海道士別市朝日町中央３８２０番地
M010000347,北海道富良野市緑町８の１３
M010000648,北海道富良野市朝日町７－９和光ハイツ3
M010001146,北海道富良野市幸町３－２９ＩＲＩＥＦＵＲＡＮＯ
M010001679,北海道富良野市北の峰町２２－１
M010002666,北海道富良野市北の峰町２８－３１
M010004810,北海道富良野市北の峰町３番１５号ハッピーホーム1
M010004811,北海道富良野市北の峰町３番１５号ハッピーホーム2
M010006388,北海道富良野市本町９－３０
M010007954,北海道富良野市朝日町１５－２０
M010008205,北海道富良野市栄町７－１８ベラコーナー
M010008206,北海道富良野市栄町７－１９ヴィラパウロ
M010008207,北海道富良野市中御料チセ梟
M010010626,北海道富良野市北の峰町３４番２３号
M010011192,北海道富良野市北の峰町２１番３２号富良野シャレ―
M010011194,北海道富良野市新富町３－２３
M010001694,北海道東川町西町８丁目３番５号B
M010003346,北海道東川町北町２丁目４番６号Ｆｏｒｔ　ＧｒｅｅｎｅS
M010002667,北海道美瑛町俵真布中央
M010004293,北海道美瑛町錦町３－３８
M010004294,北海道美瑛町字美沢共生
M010006015,北海道美瑛町字瑠辺蘂１６８６－１６ヴィラ瑠辺蘂ヒル
M010008583,北海道美瑛町大村村山美瑛町移住定住促進住宅大村体験住宅
M010009118,北海道美瑛町幸町３丁目５番１１号
M010001973,北海道上富良野町東５線北１９号２７４６－７
M010003328,北海道上富良野町向町１丁目８３３－４１
M010000649,北海道中富良野町本町３－３８
M010001134,北海道中富良野町字中富良野鹿討農場
M010005243,北海道中富良野町字中富良野東３線北１５号フェアリー村
M010009325,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA2024
M010009326,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA2031
M010009327,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA2033
M010009328,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA2035
M010009329,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA3002
M010009330,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA3005
M010009331,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA3007
M010009332,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA3015
M010009333,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA3019
M010009334,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA3023
M010009335,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA3024
M010009336,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA3025
M010009337,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA3027
M010009338,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA3028
M010009339,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA3029
M010009340,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA5002
M010009341,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA5015
M010009342,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA5021
M010009343,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA5023
M010009344,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA6020
M010009345,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠA6023
M010009346,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠB2001
M010009347,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠB2002
M010009348,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠB2005
M010009349,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠB2007
M010009350,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠB2011
M010009351,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠB2017
M010009352,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠB2020
M010009353,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠB2022
M010009354,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠB2024
M010009355,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠB3002
M010009356,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠB3007
M010009357,北海道占冠村字トマム６７５番地２ザ・ヴィレッジアルファⅠB3020
M010001972,北海道下川町錦町２８２番地
M010008581,北海道音威子府村音威子府５１１番地６
M010010156,北海道留萌市宮園町１丁目５番６号
M010001688,北海道小平町字小平町４３３－１７
M010000643,北海道利尻町沓形字泉町１２１－１
M010001700,北海道網走市字豊郷４２３－２
M010002671,北海道網走市北浜１２８－１
M010009121,北海道網走市台町２丁目４－１
M010000644,北海道帯広市大川町１６番地
M010001148,北海道帯広市東１条南１６丁目８－２
M010003521,北海道帯広市東４条南２２丁目７番地１
M010004297,北海道帯広市以平町西１２線２番地１７
M010006906,北海道帯広市東１０条南８丁目１－２０
M010004005,北海道上士幌町糠平源泉郷南区６番
M010000646,北海道芽室町北芽室北４線３６－５
M010005734,北海道芽室町中美生６－２－５
M010007571,北海道芽室町東２条南４丁目２－１７
M010004809,北海道幕別町札内共栄町１７２番地２８メゾネットハウス麗D
M010001731,北海道足寄町西町２－４－７
M010000162,北海道釧路市入江町３－１２
M010001135,北海道釧路市寿４－２－7
M010003342,北海道釧路市春採三丁目十七番四号
M010006908,北海道釧路市南大通２丁目２番８号
M010010158,北海道釧路市南大通１ー２ー５
M010005245,北海道弟子屈町字奥春別原野４５線西９９番地５９
M010004803,北海道根室市納沙布３５－２
M010001133,北海道中標津町東２０条南９丁目８－１５
M010005739,北海道羅臼町八木浜１３番地４
M010008444,北海道羅臼町八木浜町２７
M010009793,北海道羅臼町知昭町１９１番地
