民宿くろしま,沖縄県竹富町黒島1948　,0980-85-4280,minkuro2006@yahoo.co.jp
みん宿ヤポネシア,沖縄県糸満市大度309-42　,098-997-2136,yaponesia_itoman@yahoo.co.jp
タフ＆ココナッツ２号館,沖縄県うるま市石川曙１?９?９リバーストン１４２　,098-894-9100,bartough@hotmail.com
Resort life Kabira 　リゾートライフカビラ,沖縄県石垣市字川平895　,0980-88-2540,resortlife@kabira895.jp
赤瓦の宿　瓦家「かーらやー」,沖縄県宮古島市平良字松原138　,090-5738-7398,info@ka-raya-miyakojima.net
Hanahana,沖縄県宮古島市平良字久貝50-1　,0980-72-8757,hanahana@miyako-net.ne.jp
沖縄家庭料理の宿なかはら,沖縄県那覇市首里山川町1-69-3　,098-887-7073,nakahara_okinawa@yahoo.co.jp
瀬良垣リーフホテル＆民宿,沖縄県恩納村瀬良垣519-1　,098-966-2101,seragaki_hotel@yahoo.co.jp
Seaside Kina 「シーサイド・キナ」,沖縄県糸満市糸満1943-32　,090-5744-5100,seaside_kina@yahoo.co.jp
民宿シエル・ハウス,沖縄県宮古島市城辺字福里1676-4　,0980-77-2012,ciel@oe.oops.jp
民宿まつや,沖縄県石垣市登野城2-34　,0980-82-3455,uehara@ishigaki.fm
Sunコザ,沖縄県沖縄市仲宗根町30-15　,098-934-2629,info@sunkoza.com
沖縄備瀬崎潮騒の宿　【備瀬の海】,沖縄県本部町字備瀬６３９?１６　,0980-48-4788,bise_marinev@yahoo.co.jp
美らやどココちゃん,沖縄県石垣市石垣155-1　,0980-88-6373,cocochan2007ishigaki@yahoo.co.jp
ナチュラル　ファクトリー　?natural factory?,沖縄県沖縄市与儀２９２wa-4c　,098-932-7231,naturalfactory007@yahoo.co.jp
民宿　やどかり,沖縄県本部町瀬底４８４６　,090-2750-4195,beachuncle@yahoo.co.jp
ゲストハウス　Sunコザ,沖縄県沖縄市仲宗根町30-15　,098-934-2629,info@sunkoza.com
沖縄Sea Mole,沖縄県読谷村楚辺1181　TO-126　,098-921-9555,okinawaseamole@gmail.com
島の宿,沖縄県沖縄市照屋　5-7-24　,090-1945-7971,yagin@mail.goo.ne.jp
ゲストハウスぱいぬさと,沖縄県宮古島市宮古島市平良字久貝1034-3　,080-6490-8130,deigo2007@mail.goo.ne.jp
民宿光の家annex,沖縄県那覇市久米1-12-14　民宿光の家annex,098-868-0444,info@hikarinoie.jp
民宿　やどかり,沖縄県本部町瀬底４８４６　,090-2750-4195,beachuncle@yahoo.co.jp
民宿みなと荘,沖縄県那覇市東町18-21　,098-868-5501,tanuzou1@yahoo.co.jp
民宿西町,沖縄県那覇市西1-16-8　仲村ビル,098-861-5961,nishi@wds5.com
今帰仁の宿　ハイビスカス,沖縄県今帰仁村字今泊３５７１　,0980-56-5830,uemahiro@gmail.com
ラフアンドピース,沖縄県読谷村儀間１５９?１　,098-958-5068,laughandpeace@maroon.plala.or.jp
ヒーリングハウス,沖縄県沖縄市高原４?１０?３１　,098-989-0751,healing-house@bloom.ocn.ne.jp
honualoha,沖縄県読谷村長浜219　,090-4425-4957,okinawahonuclub@yahoo.co.jp
民宿　沖縄時間,沖縄県名護市字宇茂佐９１４?５　,098-052-0686,nagonago@eco.ocn.ne.jp
素泊まり民宿「前道荘（メーミチソウ）」,沖縄県南風原町沖縄県島尻郡南風原町字喜屋武55　,090-6637-7582,n_taniguchi0502@yahoo.co.jp
民宿おふく,沖縄県今帰仁村字湧川１０３１　,0980-56-3753,minnsyuku_ohuku@solid.ocn.ne.jp
素泊まり宿　アートボックス,沖縄県石垣市真栄里４９１?３　,0980-83-4913,artbox@woody.ocn.ne.jp
民宿　アガイ浜,沖縄県与那原町字東浜106?4　,090-7587-8039,mail@agaihama.com
LIFE IS A JOURNEY,沖縄県読谷村長浜３０番地　,098-921-6666,grandlife.k@coffee.ocn.ne.jp
ゲストハウスゆんたん,沖縄県読谷村楚辺１９７２　,080-3252-9290,yun-tan@etude.ocn.ne.jp
遊しび,沖縄県竹富町竹富町南風見仲２９?１１　,090-9780-3099,thiashibi@yellow.plala.or.jp
海と風の宿,沖縄県名護市瀬嵩１８２　,0980-55-8581,yado2@sea-wind.com
ゲストハウスやーにんじゅう,沖縄県読谷村長浜1902-3 2F　,098-958-1134,info@ya-ninjyu.com
オアシス 優,沖縄県読谷村字大木335　,,oasis_you_ohshiro@yahoo.co.jp
名蔵ヴィレッジ,沖縄県石垣市名蔵1356-108-4　,0980-87-8282,ddwster@gmail.com
民宿サフラン,沖縄県宮古島市平良字東仲宗根添1429番地　,090-9785-2697,saflan.org@gmail.com
http://saflan.org/,沖縄県宮古島市平良字東仲宗根添1429番地　,090-9785-2697,saflan.org@gmail.com
山田家,沖縄県名護市字田井等７７９?１　2F　,090-7587-6876,info@uchinan.chu.jp
やんばる家,沖縄県北谷町宮城2-93　,098-926-0151,yanbaruya-sachiko@ezweb.ne.jp
民宿　八重山荘,沖縄県石垣市大川３４　,0980-82-3231,yaimaso@soleil.ocn.ne.jp
南国の宿　Hale Ohana,沖縄県今帰仁村崎山153　,0980 56-1055,spzw7q49@wish.ocn.ne.jp
民宿おおき,沖縄県読谷村字大木１５１?３　,098-956-5143,yado-ooki@mail.goo.ne.jp
沖縄読谷村ゲストハウス｜シーモール,沖縄県読谷村楚辺1181　,098-921-9555,sea.mole821336@gmail.com
せんだん,沖縄県本部町本部町字山川５５４　,0980-48-4113,sendan19514@yahoo.co.jp
一休,沖縄県本部町瀬底４１１　,0980-47-3323,satesate@kba.biglobe.ne.jp
なし,沖縄県国頭村ase　,098-123-4567,maro11mama@docomo.ne.jp
民宿,沖縄県本部町山川９９４番地　,,sirakaji.@ezweb.ne.jp
石垣島　ざわわ,沖縄県石垣市新川809　,090-3796-4409,ishigaki-zawawa@ezweb.ne.jp
民家泊の宿「読座（ゆんじゃ?）」,沖縄県本部町字北里7　,080-1706-2950,info@okinawajoho.jp
ビーチハウス宮古島 マンスリープラン(1ヶ月)４万５百円♪,沖縄県宮古島市平良字下里172-4　,0980-72-3971,info@beachhouse-miyakojima.com
くもじ荘　Kumoji-So Hostel,沖縄県那覇市久茂地3-23-10　　よはなビル6階,098-866-5031,kumojisohostel@gmail.com
おさるのおやど糸満,沖縄県糸満市字糸満413-6　,098-851-3765,itomanstaff@saruyado.com
ペンション・ホワイトハウス,沖縄県本部町字豊原188-3　,090-5286-2500,info@motomate.jp
沖縄女性専用ゲストハウスＳｅａ?ＰａっＰａ,沖縄県那覇市泊3-5-11　カデナビル2F,098-863-4424,info@sea-pappa.com
民宿　沖縄時間,沖縄県名護市宇茂佐９１４?５　,0980-52-0686,nagonago@eco.ocn.ne.jp
瀬底島　民宿【美ら旅 】みんしゅく　ちゅらたび  HP/uema.biz    那覇店もあり電話番号同じ,沖縄県本部町字瀬底304番地　楽天トラベル　口コミ　人気順　1位の宿,098-863-2489,uema.no@feel.ocn.ne.jp
民宿　美ら旅,沖縄県那覇市前島2-11-7　エースビル2階　201,098-863-2489,uema.no@feel.ocn.ne.jp
民宿美ら旅,沖縄県那覇市沖縄県那覇市前島2-11-7エースビル宿事務所6階　沖縄県那覇市前島2-11-7　チェクインは2階で,090-2504-7004,uema.no@feel.pcn.ne.jp
マリンクラブ　カナロア,沖縄県渡嘉敷村字渡嘉敷１９１８?２　,090-6953-1794,info@marineclub-kanaloa.com
民宿　美らたび【ちゅらｒたび】,沖縄県那覇市前島2-11-7　民宿美ら旅ビル　,090-2504-7004,uema.no@feel.ocn.ne.jp
民宿美ら旅　瀬底,沖縄県本部町瀬底304番地　,098-2504-7004,uema.no@feel.ocn.ne.jp
民宿美ら旅那覇,沖縄県本部町那覇市前島2-11-7　,098-863-2489,uema.no@feel.ocn.ne.jp
サンセットアメリカンホテル,沖縄県北谷町沖縄県北谷町宮城2-46　,098-936-9691,eito@cronos.ocn.ne.jp
がじゅまる家,沖縄県宜野座村字松田１２６?１　,098-968-2724,mystique_flower@hotmail.com
Ken民宿,沖縄県恩納村前兼久159-3　,098-989-8654,kenhostel.jp@gmail.com
ペンション　波,沖縄県国頭村本部町字崎本部５０２５?２　,0980-47-3717,nami@friend.ocn.ne.jp
沖縄　読谷村ゲストハウスならHolo♪holo by lifetime　,沖縄県読谷村古堅582?１　Ｂ?４０,,info@lifetime-ds.jp
ＣＯＣＯＨＯＴＥＬ,沖縄県那覇市銘苅１?２?１０　ココマンション,098-863-7500,cocohotel.sintosin@gmail.com
caffe 　ＳＳＳ（スリーエス),沖縄県恩納村北部　,,hotstaff19591231@gmail.com
沖縄格安マンスリーマンションインリンク,沖縄県那覇市辻2?7?4　,098-866-3507,info@inlink.co.jp
おきなわトレンドナビ,沖縄県那覇市泊3?13?8　,098-861-7222,okinawa-trend@inlink.co.jp
Sesoko Inn Guest house,沖縄県本部町瀬底３０　,0980-47-6119,okinawa_pottery@yahoo.co.jp
宮古島レンタカー＆ゲストハウス　美ら島みやこや,沖縄県宮古島市沖縄県宮古島市平良字下里1021-1　,0980-73-1165,pension@miyakoya.org
あいらんど★すぺーす沖縄,沖縄県那覇市牧志2-13-6　1Fアイランドスペース,,island_space2008@yahoo.co.jp
海の見えるヴィラタイプの宿 風（ふう）,沖縄県座間味村字阿佐25　,098-987-2468,info@zamami-fuu.com
かふーわ,沖縄県浦添市字港川331　,,info@favorite-okinawa.com
沖縄素泊まり宿やんばるふくろう,沖縄県名護市屋部２０５?３　,0980-43-5411,yanbarufukuro@gmail.com
沖縄ゲストハウス「月と海」,沖縄県読谷村喜名195　,090-4430-9900,enjoy.oknw@gmail.com
沖縄ゲストハウス　ふしぬやーうちー,沖縄県読谷村伊良皆５０３番地　,098-923-1942,fushinuyauchi1128@gmail.com
移住民宿,沖縄県那覇市楚辺１丁目６?１６　,,yumi3395@w3.dion.ne.jp
しらはま荘,沖縄県竹富町字西表　1499,,mastar2571@yahoo.co.jp
民宿とまり家,沖縄県那覇市牧志３丁目１３?１　,098-943-3558,info@tomariya.com
宮古島南国民宿 プキの家,沖縄県宮古島市平良字狩俣934-3　,,pukinoie@fuga.ocn.ne.jp
名護市でのご宿泊に！ペンションミルク,沖縄県名護市屋部1090-1　,090-1174-7630,milk@okinawajoho.jp
ゲストハウス　天空okinawa　「あまからおきなわ」,沖縄県名護市仲尾133　,0980-58-2258,kimura488@gmail.com
localmart,沖縄県沖縄市泉崎1-1-1　,098-934-1111,angie2007@yandex.ru
沖縄那覇ゲストハウス女性専用TerraFirma,沖縄県那覇市安里1-5-1-2F　,080-8019-6308,info@terrafirma-okinawa.com
民宿 夏苑 (カエン),沖縄県南城市知念知名126番地　,080-4279-0838,wendynatsu@red-channel.com
ペンション残波,沖縄県読谷村瀬名波929番1　,098-923-1012,kwkg2009@Yahoo.co.jp
石垣島 川平の民宿&amp,安宿 旅の宿がじゅまる,080-1411-9951,gajyumanta@gmail.com
ゲストハウス　ラフスタイル,沖縄県うるま市石川　２１１１?５　,090-3195-3049,loughstyle@docomo.ne.jp
民宿涼風（しらかじ）,沖縄県本部町山川994　,,sirakaji@ezweb.ne.jp
Natsukaze.com,沖縄県金武町字金武10680-6 2F　,090-6861-8942,okinawanatsukaze@yahoo.co.jp
SUP STAYコハナ今帰仁,沖縄県今帰仁村玉城738　,0980-56-1055,spzw7q49@wish.ocn.ne.jp
ペンション ムーンヴィラ PENSION MoonVilla,沖縄県恩納村前兼久1006-2　,098-965-7761,info@moon-villa.com
ピースリーイン宮古島,沖縄県宮古島市平良字西里311番地　,098-8692-2113,peace@peace-k.jp
ゲストハウスなんで家ねん,沖縄県本部町渡久地４?７　,,info@yasuyado.okinawa
SAKURA GESTHOUSE,沖縄県うるま市市栄野比９１３-3　,090-4471-6225,mail@sin.boy.jp
さくらゲストハウス,沖縄県うるま市栄野比913-3　さくらゲストハウス,090-4471-6225,uejoumituru@gmail.com
民家泊の宿「読座（ゆんじゃ?）」,沖縄県本部町字北里7　,080-1706-2950,info@okinawajoho.jp
yuri-ゲストハウス,沖縄県那覇市沖縄県那覇市若狭3?30?9　,098-943-5323,waka789120@yahoo.co.jp
ゲストハウス　パキラ,沖縄県石垣市白保１５２　,,saki.motto@nifty.com
沖縄民宿★美ら海くん！,沖縄県恩納村名嘉真176-2F　,090-3197-5527,churaumikun@gmail.com
OkinawaDormitory,沖縄県那覇市沖縄県那覇市字安里388-37　當間ビル3F,090-9783-3884,deep.okinawa@gmail.com
seagull village,沖縄県本部町字石川780　,0980-43-6499,seagullvillage@gmail.com
ゲストハウス　かふぅ村,沖縄県本部町瀬底１５３７,080-5093-3234,kafuuvillage@gmail.com
ジョイフル　ちんぐし,沖縄県渡嘉敷村渡嘉敷１９６　,080-4449-2317,yusuke.tokashiki.kawa@gmail.com
ゲストハウス　シーグラス　Ｓｅａｇｌａｓｓ,沖縄県糸満市真栄里２０３２?９　,080-6497-1018,guesthouseseaglass@gmail.com
素泊まりの宿　藍,沖縄県石垣市大川286番地　源ビル　4F,0980-87-6200,ishigakijima-ai@globe.ocn.ne.jp
沖縄ラティーナ,沖縄県那覇市前島１?２?１２　沖縄ラティーナ　２０５号室,090-8294-5372,beniokinawa2002@aqua.plala.or.jp
素泊まり民宿  和み,沖縄県糸満市米須257番地　,090-1692-7632,majojo-0113@ezweb.ne.jp
民宿芭蕉布,沖縄県南城市玉城字奥武118-2　,090-2473-3687,mahi86055@yahoo.co.jp
ゲストハウスりゅうかく,沖縄県南城市玉城字奥武２９３?２４　,098-917-4173,r_dragonn@yahoo.co.jp
PARK SIDE HOUSE-A,沖縄県沖縄市沖縄市胡屋　,090-7587-0001,cpnyd124@yahoo.co.jp
三線のある小さな宿  はまばる,沖縄県豊見城市翁長 823-9　,,cuisine.taat323821.love-mother@ezweb.ne.jp
空風,沖縄県今帰仁村今帰仁　,090-9787-3935,nakijinfuua@gmail.com
屋嘉ビーチテラス　De luxe,沖縄県金武町屋嘉270番地　ヤカ・ビーチテラス（デラックス）,090-1942-1665,minpaku.guide.okinawa@gmail.com
オーシャンビュー 金城,沖縄県うるま市石川2170　,090-1942-1665,ocean.view.kinjyo@outlook.com
屋嘉ビーチテラス/ドミトリー,沖縄県金武町字屋嘉270　,090-1942-1665,minpaku.guide.okinawa@gmail.com
民宿 Pono-Pono,沖縄県名護市名護市大西1丁目18-5　,090-9565-2722,pono.pono.okinawa@gmail.com
民宿★美ら海くん！格安☆個室型シェアルーム♪,沖縄県恩納村名嘉真176　,,churaumi.dorm@gmail.com
エンドレスサマー,沖縄県沖縄市知花5-16-1 2F　,,roccstaaa@yahoo.co.jp
ペンション真栄田岬,沖縄県恩納村恩納村真栄田2396　akハウス2,080-6484-8356,okinawa.chura.ak@ezweb.ne.jp
民宿 雑貨工房 RENGA,沖縄県うるま市与那城平安座8146-3　,090-8293-3496,renga_okinawa@yahoo.co.jp
ゆんたくハウス「まじゅんやー」,沖縄県北谷町北谷町北前261　ハウスNo.147,090-1949-1691,info@majunya.okinawa
月の舟,沖縄県うるま市字豊原７４８　,098-927-3472,yukitaro113@gmail.com
サザンテラス,沖縄県宮古島市平良字下里４８１?２　,,remon.y-5005@docomo.ne.jp
あやの荘,沖縄県名護市字源河61番地2　,090-4510-2520,oyakawek824@abeam.ocn.ne.jp
パイナガマ・ビーチハウス,沖縄県宮古島市平良字久貝654-6　,0980-79-5499,miyako@painagamabeach.com
沖縄ゲストハウスGRAND那覇,沖縄県那覇市久茂地2-7-11　,098-917-4946,info@grandnaha.com
Rental Villa Luana Waioli,沖縄県豊見城市字翁長３２１?１　,090-5748-6116,waiolionaga@teabreak.jp
guest house ?ONNA?,沖縄県恩納村名嘉真　2288-244 プリンスフローレンス パラッツオ,090-8291-8432,borsalino.57@i.softbank.jp
沖縄ゲストハウス,沖縄県宜野湾市大謝名　,,8888tinkerbell@gmail.com
民宿よんな?,沖縄県糸満市大度275-33　,098-997-3058,kanatokashiki@yahoo.co.jp
ゲストハウスミルク,沖縄県名護市屋部324　,090-1174-7630,milk@okinawajoho.jp
沖縄ゲストハウス チャンプルー荘,沖縄県那覇市牧志3丁目6?3　チャンプルービル,098-862-9287,info@chanpurusou.com
スカイテラス,沖縄県沖縄市美里１丁目４?６　アクト美里801号室,080-3978-7877,okinawa10000000000@yahoo.co.jp
YAKA BEACH TERRACE,沖縄県恩納村沖縄県国頭郡金武町屋嘉２７０　沖縄県うるま市石川東恩納９７９?１６,090-1942-1665,minpaku.guide.okinawa@gmail.com
ひなテラス,沖縄県沖縄市美里1-4-6　アクト美里701号室,070-5272-2291,9999maby@i.softbank.jp
ヤカ・ビーチテラス,沖縄県金武町字屋嘉２７０　,090-1942-1665,minpaku.guide.okinawa@gmail.com
宿泊施設UMIYAKARA?うみやから?,沖縄県金武町金武8119-2　,098-923-3148,umiyakara0601@gmail.com
Healing　House,沖縄県沖縄市高原3-4-3　,080-8952-7035,bnb.oki2016@gmail.com
民泊チェリッシュ,沖縄県名護市大北一丁目1番26号　,090-5489-4388,cherish@okinawajoho.jp
Cuoreyui ｸｵｰﾚﾕｲ,沖縄県今帰仁村字越地146-1番地　,090-4294-3580,toyomasa1978@tg7.so-net.ne.jp
おーみん沖縄,沖縄県糸満市字大度403　,090-2195-1142,oumi_ao@yahoo.co.jp
民宿★美ら海グランパ,沖縄県恩納村沖縄県国頭郡恩納村名嘉真１７６　,,tom.shimabuku@outlook.jp
さぷな家,沖縄県竹富町竹富町字竹富３１４　,090-9508-7389,shoujikijiisan@extra.ocn.ne.jp
民宿やよい,沖縄県南城市知念字知念722-1　,098-949-7857,yayoi.okinawa@gmail.com
克三郎ハウス　KOKUSABUROUHOUSE,沖縄県恩納村山田　2996?3　　,,kokusaburouhouse@gmail.com
Sesoko Inn Guest house,沖縄県本部町瀬底３０　,0980-47-6119,okinawa_pottery@yahoo.co.jp
七光フラワー荘,沖縄県うるま市石川東山本町２?１１?９　,090-3079-2757,nanahikari.flower.so@gmail.co
マムヴィッラ,沖縄県うるま市与那城平安座279　,090-6633-0279,mumvilla@gmail.com
屋嘉ビーチテラス,沖縄県金武町屋嘉２７０番地　,090-1942-1665,ninjyunokinawa@yahoo.co.jp
ケラマバックパッカーズ,沖縄県渡嘉敷村字　渡嘉敷40番地　,070-5277-4522,kerama.bp@oki-tokashiki.jp
