M140000044,神奈川県横浜市鶴見区潮田町３－１３５－５
M140003031,神奈川県横浜市中区山下町１３２メイゾンチュトワイエ中華街703
M140003054,神奈川県横浜市南区前里町３－４９−５ボナール前里202
M140003060,神奈川県横浜市南区前里町３－４９−５ボナール前里501
M140003440,神奈川県横浜市都筑区南山田町４１３６－１３
M140003717,神奈川県横浜市中区山下町１１２番地３ポートタワー盛徳901
M140003854,神奈川県横浜市中区山下町１２６－１８亜細亜ハイツ2
M140003917,神奈川県横浜市中区山下町１２６－１９亜細亜ハイツ3
M140003928,神奈川県横浜市中区山下町１３３－７亜細亜ハイツ1
M140004080,神奈川県横浜市中区山下町２２０緑苑ビル401
M140004081,神奈川県横浜市中区山下町２２０緑苑ビル402
M140004201,神奈川県横浜市神奈川区台町１０－２７コートハイム横浜601
M140004240,神奈川県横浜市中区伊勢佐木町２－９２三栄ビル三階
M140004245,神奈川県横浜市中区石川町５－１８５－２
M140004323,神奈川県横浜市中区山下町２７６―５ル・グラン元町709
M140004324,神奈川県横浜市神奈川区台町１０－２７コートハイム横浜303
M140004350,神奈川県横浜市金沢区釜利谷西１－８－４
M140004396,神奈川県横浜市保土ケ谷区鎌谷町７７杉山マンション1F
M140004398,神奈川県横浜市神奈川区台町１０−２７コートハイム横浜401
M140004579,神奈川県横浜市中区打越５３－２１
M140004778,神奈川県横浜市港北区日吉２－６－２０ビーハイヴ205
M140004781,神奈川県横浜市鶴見区佃野町１４－２３－２
M140004788,神奈川県横浜市神奈川区羽沢南４－１７－１グリーンハイツ羽沢305
M140005778,神奈川県横浜市南区吉野町２－６－１コーポ吉野町202
M140005916,神奈川県横浜市青葉区梅が丘２８－１６Ｌａ　ｖｉｔａ102
M140006195,神奈川県横浜市戸塚区柏尾町１１６２－１７
M140006270,神奈川県横浜市南区通町４－８２－１サンブルグ通町201
M140006290,神奈川県横浜市南区通町４－８２－１サンブルグ通町202
M140006291,神奈川県横浜市中区山下町１３４－１
M140006546,神奈川県横浜市中区麦田町１－１７－６－101
M140007263,神奈川県横浜市中区山下町２１１−８ＡＬＰＳ山下町303
M140007444,神奈川県横浜市保土ケ谷区鎌谷町７７杉山マンション302
M140007446,神奈川県横浜市保土ケ谷区鎌谷町７７杉山マンション303
M140007447,神奈川県横浜市保土ケ谷区鎌谷町７７杉山マンション201
M140007762,神奈川県横浜市中区伊勢佐木町７－１５３－２ＩＳＥＺＡＫＩ７201
M140007763,神奈川県横浜市中区伊勢佐木町７－１５３－２ＩＳＥＺＡＫＩ７301
M140007765,神奈川県横浜市中区伊勢佐木町７－１５３－２ＩＳＥＺＡＫＩ７401
M140007964,神奈川県横浜市磯子区磯子７丁目３－３９
M140008258,神奈川県横浜市中区山下町１１２番地３ポートタワー盛徳801
M140008259,神奈川県横浜市中区山下町１１２番地３ポートタワー盛徳301
M140009065,神奈川県横浜市中区吉田町４－１１吉田町第一名店ビル315
M140009070,神奈川県横浜市中区吉田町４－７吉田町第一名店ビル415
M140009817,神奈川県横浜市金沢区富岡東１－３０－２４
M140009961,神奈川県横浜市鶴見区東寺尾１－３１－１８
M140010372,神奈川県横浜市中区山下町１０３－８興栄101
M140010373,神奈川県横浜市中区山下町１０３－８興栄102
M140010684,神奈川県横浜市神奈川区台町１０－２７コートハイム横浜502
M140010877,神奈川県横浜市神奈川区栄町８８－１
