M230000384,愛知県名古屋市千種区徳川山町一丁目１１番９号
M230002723,愛知県名古屋市東区葵２－１０－２４ｍｉｎａ葵1701
M230002724,愛知県名古屋市東区葵２－１０－２４ｍｉｎａ葵1702
M230002725,愛知県名古屋市東区葵２－１０－２４ｍｉｎａ葵1703
M230002726,愛知県名古屋市東区葵２－１０－２４ｍｉｎａ葵1704
M230002727,愛知県名古屋市東区葵２－１０－２４ｍｉｎａ葵1801
M230002728,愛知県名古屋市東区葵２－１０－２４ｍｉｎａ葵1802
M230004025,愛知県名古屋市東区葵一丁目１８番５号
M230004829,愛知県名古屋市東区泉３丁目２６－８第３０プロスパー泉407
M230004970,愛知県名古屋市東区泉３丁目２６番８号第３０プロスパー泉401
M230005404,愛知県名古屋市東区泉３丁目２６ー８第３０プロスパー泉201
M230005412,愛知県名古屋市東区泉３丁目２６ー８第３０プロスパー泉502
M230007244,愛知県名古屋市東区泉３丁目２６－８第３０プロスパー泉806
M230001940,愛知県名古屋市北区大杉３－２０－１６第８渡辺ビル3B
M230001990,愛知県名古屋市北区上飯田南町２－２７ビラ安藤301
M230001993,愛知県名古屋市北区上飯田南町２－２７ビラ安藤303
M230003059,愛知県名古屋市北区大曽根三丁目１７－５メゾンエトワール1206
M230003462,愛知県名古屋市北区大曽根３－１７－５メゾンエトワール201
M230003912,愛知県名古屋市北区大曽根３丁目１７－５メゾンエトワール706
M230003925,愛知県名古屋市北区龍ノ口町３－３９－３
M230004124,愛知県名古屋市北区大曽根４丁目１８－３１ドゥエトワール801
M230004232,愛知県名古屋市北区大曽根３－１７－５メゾンエトワール402
M230009212,愛知県名古屋市北区辻本通４－１０杉本ビルサンハイツ503
M230009213,愛知県名古屋市北区辻本通４－１０杉本ビルサンハイツ605
M230009740,愛知県名古屋市北区金城３丁目３番１７号金城マンション1F2F
M230001039,愛知県名古屋市西区栄生二丁目１３番２０号
M230002045,愛知県名古屋市西区城西４－４－１ジローズ浄心503
M230002046,愛知県名古屋市西区城西４－４－１ジローズ浄心602
M230002047,愛知県名古屋市西区城西４－４－１ジローズ浄心501
M230002048,愛知県名古屋市西区城西４－４－１ジローズ浄心505
M230002049,愛知県名古屋市西区城西４－４－１ジローズ浄心601
M230002050,愛知県名古屋市西区城西４－４－１ジローズ浄心508
M230002190,愛知県名古屋市西区児玉３－２４－１４ポラリス102
M230002191,愛知県名古屋市西区児玉３－２４－１４ポラリス101
M230002335,愛知県名古屋市西区新道１－２１－２２
M230002857,愛知県名古屋市西区城西２―１４―２７プラバフォー城西201
M230002858,愛知県名古屋市西区城西２－１４－２７プラバフォー城西202
M230002860,愛知県名古屋市西区城西２－１４－２７プラバフォー城西401
M230004059,愛知県名古屋市西区新道１－２５－１９
M230007479,愛知県名古屋市西区那古野１丁目３０番１号那古野住宅0
M230009993,愛知県名古屋市西区天塚町１丁目３２番地２城北マンション205
M230009994,愛知県名古屋市西区天塚町１丁目３２番地２城北マンション206
M230009995,愛知県名古屋市西区天塚町１丁目３２番地２城北マンション207
M230010335,愛知県名古屋市西区城西４－７－１４村上ビル2F
M230010336,愛知県名古屋市西区城西４－７－１４村上ビル3F
M230010337,愛知県名古屋市西区城西４－７－１４村上ビル4F
M230000652,愛知県名古屋市中村区中島町２丁目５番地4
M230000657,愛知県名古屋市中村区二ツ橋町１－３９伊藤ビル102
M230001981,愛知県名古屋市中村区鳥居西通一丁目１２番１号第４１プロスパー1F
M230002041,愛知県名古屋市中村区烏森町５－３３シャルムルポ501
M230002042,愛知県名古屋市中村区烏森町５－３３シャルムルポ403
M230004490,愛知県名古屋市中村区大正町２－１７－４
M230009555,愛知県名古屋市中村区熊野町１丁目６９番地２
M230009564,愛知県名古屋市中村区亀島２丁目１１－６第２中村ビル3B
M230010732,愛知県名古屋市中村区烏森町五丁目３３番地シャルムルポ401
M230010839,愛知県名古屋市中村区太閤２－１－１１
M230000459,愛知県名古屋市中区新栄三丁目１８－１４
M230001867,愛知県名古屋市中区上前津１－１５－１５スカイタウン上前津208
M230001870,愛知県名古屋市中区上前津１－１５－１５スカイタウン上前津307
M230001939,愛知県名古屋市中区丸の内三丁目１６番２号第２２プロスパー丸の内501
M230001956,愛知県名古屋市中区丸の内三丁目１５番７－２号第２３プロスパー丸の内701
M230002072,愛知県名古屋市中区新栄１丁目１０－１３バーダントヒルズ新栄201
M230002073,愛知県名古屋市中区新栄１丁目１０－１３バーダントヒルズ新栄401
M230002074,愛知県名古屋市中区新栄１丁目１０－１３バーダントヒルズ新栄501
M230002075,愛知県名古屋市中区新栄１丁目１０－１３バーダントヒルズ新栄502
M230002076,愛知県名古屋市中区新栄１丁目１０－１３バーダントヒルズ新栄701
M230002199,愛知県名古屋市中区栄５－１０－４Ｌｅａｆ－Ｈｉｌｌｓ矢場町201
M230002200,愛知県名古屋市中区栄５－１０－４Ｌｅａｆ－Ｈｉｌｌｓ矢場町202
M230002201,愛知県名古屋市中区栄５－１０－４Ｌｅａｆ－Ｈｉｌｌｓ矢場町301
M230002202,愛知県名古屋市中区栄５－１０－４Ｌｅａｆ－Ｈｉｌｌｓ矢場町302
M230002203,愛知県名古屋市中区栄５－１０－４Ｌｅａｆ－Ｈｉｌｌｓ矢場町401
M230002204,愛知県名古屋市中区栄５－１０－４Ｌｅａｆ－Ｈｉｌｌｓ矢場町402
M230002689,愛知県名古屋市中区新栄１－３１－９カーサデマルソ2A
M230003318,愛知県名古屋市中区丸の内３丁目１５－７－２第２３プロスパー丸の内702
M230003916,愛知県名古屋市中区新栄一丁目３０番１８号－１
M230004167,愛知県名古屋市中区新栄三丁目８番１７号
M230004739,愛知県名古屋市中区上前津１－１５－１５スカイタウン上前津605
M230004740,愛知県名古屋市中区上前津１－１５－１５スカイタウン上前津306
M230004742,愛知県名古屋市中区上前津１－１５－１５スカイタウン上前津305
M230004743,愛知県名古屋市中区上前津１－１５－１５スカイタウン上前津302
M230004995,愛知県名古屋市中区千代田３－２０－３
M230005543,愛知県名古屋市中区丸の内３－１５－７－２第２３プロスパー丸の内402
M230005628,愛知県名古屋市中区正木四丁目３－１３
M230006722,愛知県名古屋市中区栄三丁目２０－７Ｓｔｕｄｉｏナディア205
M230006723,愛知県名古屋市中区栄三丁目２０－７Ｓｔｕｄｉｏナディア602
M230008697,愛知県名古屋市中区栄四丁目１２番１号栄グリーンマンション403
M230008699,愛知県名古屋市中区栄４ー１２ー１栄グリーンマンション602
M230009155,愛知県名古屋市中区新栄１丁目１２－５ニューシャトー静604
M230009698,愛知県名古屋市中区新栄二丁目２４番５号第１５プロスパー新栄ビル301
M230009699,愛知県名古屋市中区新栄二丁目２４番５号第１５プロスパー新栄ビル801
M230009701,愛知県名古屋市中区新栄二丁目２４番５号第１５プロスパー新栄ビル901
M230010181,愛知県名古屋市中区新栄１丁目１２ー５ニューシャトー静401
M230010496,愛知県名古屋市中区栄５丁目１２番２５号ヤマニビル202
M230010500,愛知県名古屋市中区栄５丁目１２番２５号ヤマニビル205
M230010504,愛知県名古屋市中区栄５丁目１２番２５号ヤマニビル403
M230010738,愛知県名古屋市中区新栄１丁目１２ー５ニューシャトー静302
M230010893,愛知県名古屋市中区新栄１丁目１２ー５ニューシャトー静502
M230010999,愛知県名古屋市中区栄５丁目１２番２５号ヤマニビル203
M230011000,愛知県名古屋市中区栄５丁目１２番２５号ヤマニビル401
M230011001,愛知県名古屋市中区栄５丁目１２番２５号ヤマニビル405
M230011002,愛知県名古屋市中区栄５丁目１２番２５号ヤマニビル301
M230011003,愛知県名古屋市中区栄５丁目１２番２５号ヤマニビル302
M230011020,愛知県名古屋市中区新栄１丁目１２ー５ニューシャトー静305
M230011079,愛知県名古屋市中区栄５丁目１２番２５号ヤマニビル303
M230011515,愛知県名古屋市中区新栄１丁目１２ー５ニューシャトー静501
M230011570,愛知県名古屋市中区丸の内３丁目１６－２第２２プロスパー丸の内901
M230000385,愛知県名古屋市瑞穂区姫宮町２－６７－３
M230001028,愛知県名古屋市瑞穂区新開町１０番19
M230010189,愛知県名古屋市瑞穂区内方町２－１１－６ＭＩＺＵＨＯ　ＵＣＨＩＫＡＴＡ　ＡＰ101
M230010191,愛知県名古屋市瑞穂区内方町２－１１－６ＭＩＺＵＨＯ　ＵＣＨＩＫＡＴＡ　ＡＰ102
M230010192,愛知県名古屋市瑞穂区内方町２－１１－６ＭＩＺＵＨＯ　ＵＣＨＩＫＡＴＡ　ＡＰ201
M230001340,愛知県名古屋市熱田区三番町１３−２１サンハウス1 
M230001548,愛知県名古屋市熱田区波寄町１８ー４ＨＯＳＴＥＬ　ＵＫＳ
M230002873,愛知県名古屋市熱田区六番三丁目２－３サンダイビル302
M230002875,愛知県名古屋市熱田区六番三丁目２－３サンダイビル303
M230001439,愛知県名古屋市中川区服部３－６０１－３４
M230002040,愛知県名古屋市中川区荒子１丁目２１５－１カーサしのはら3A
M230002483,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８1C
M230002485,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８1D
M230002486,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８1E
M230002487,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８1G
M230002488,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８1H
M230002489,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８1K
M230002491,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８1P
M230002492,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８1S
M230002493,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８2A
M230002494,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８2B
M230002495,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８2C
M230002496,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８2D
M230002497,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８2H
M230002498,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８2K
M230002499,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８2N
M230002500,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８2P
M230002501,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８2S
M230002533,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８3A
M230002535,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８3B
M230002536,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８3C
M230002537,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８3D
M230002538,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８3E
M230002540,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８3N
M230002542,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８3P
M230002543,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８3S
M230002544,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８4P
M230002546,愛知県名古屋市中川区運河町１－２７フォンティーヌ７５８4S
M230008418,愛知県名古屋市中川区五月通１－１５グランデ三州6C
M230008514,愛知県名古屋市中川区中須町１８０ー１レオパレス第２中須101
M230008515,愛知県名古屋市中川区中須町１８０ー１レオパレス第２中須201
M230008516,愛知県名古屋市中川区中須町１８０ー１レオパレス第２中須202
M230011330,愛知県名古屋市中川区西日置２－１４－２６
M230001861,愛知県名古屋市港区小碓３丁目１４松和荘7
M230000236,愛知県名古屋市南区西又兵ヱ町三丁目２４番地ラ・メール２１101
M230001645,愛知県名古屋市南区星園町１７番地２
M230006078,愛知県名古屋市南区鳴尾１－６２　２階
M230007190,愛知県名古屋市南区鳥山町１‐１５
M230008186,愛知県名古屋市南区桜本町５１番地4F
M230004020,愛知県名古屋市守山区市場１０番２３号
M230002159,愛知県名古屋市緑区有松町大字桶狭間字高根３９番地１２８
M230001021,愛知県名古屋市名東区猪子石１－２８１２
M230001186,愛知県名古屋市天白区元植田一丁目３００４番地
M230001639,愛知県名古屋市天白区元八事４丁目１２０番地
M230005796,愛知県名古屋市天白区天白町大字野並字相生２８－２８７
